"","age","gender","nb_covid19","nb_excess","deaths","nb_excess_sample","nb_covid19_sample"
"1","00-04","female",2,0,1,0,1
"2","05-09","female",6,0,3,0,3
"3","10-14","female",6,15,11,11,4
"4","15-19","female",16,0,15,0,15
"5","20-24","female",31,5,28,4,28
"6","25-29","female",62,62,71,70,71
"7","30-34","female",116,214,223,223,102
"8","35-39","female",211,414,449,449,221
"9","40-44","female",325,458,479,479,344
"10","45-49","female",606,472,611,475,611
"11","50-54","female",1087,987,1123,966,1123
"12","55-59","female",1646,2078,2076,2076,1642
"13","60-64","female",2373,2685,2579,2579,2376
"14","65-69","female",3335,785,3243,743,3243
"15","70-74","female",5277,6150,6216,6216,5188
"16","75-79","female",7660,7672,7793,7793,7750
"17","80-84","female",11323,7303,11394,7408,11394
"18","85-89","female",13899,6063,13744,5976,13744
"19","90+","female",18646,11671,18559,11773,18559
"20","all-ages","female",0,0,0,0,0
"21","00-04","male",6,0,1,0,1
"22","05-09","male",1,0,3,0,3
"23","10-14","male",6,0,3,0,3
"24","15-19","male",18,13,16,11,16
"25","20-24","male",48,0,39,0,39
"26","25-29","male",92,73,99,82,99
"27","30-34","male",173,273,277,277,183
"28","35-39","male",305,665,670,670,291
"29","40-44","male",516,825,818,818,518
"30","45-49","male",967,1079,1039,1039,934
"31","50-54","male",1733,2447,2414,2414,1742
"32","55-59","male",2964,4281,4226,4226,3026
"33","60-64","male",4388,5167,5310,5310,4379
"34","65-69","male",5730,2366,5743,2332,5743
"35","70-74","male",8811,9450,9323,9323,8784
"36","75-79","male",11798,11721,11887,11887,11714
"37","80-84","male",14906,11924,14794,11985,14794
"38","85-89","male",14741,11336,14954,11405,14954
"39","90+","male",12535,12343,12374,12374,12336
"40","all-ages","male",0,0,0,0,0
