"age","gender","nb_covid19","nb_excess","deaths","child_age","nb_c","orphans"
"00-04","Female",2,-188,2,0,0,0
"00-04","Female",2,-188,2,1,0,0
"00-04","Female",2,-188,2,2,0,0
"00-04","Female",2,-188,2,3,0,0
"00-04","Female",2,-188,2,4,0,0
"00-04","Female",2,-188,2,5,0,0
"00-04","Female",2,-188,2,6,0,0
"00-04","Female",2,-188,2,7,0,0
"00-04","Female",2,-188,2,8,0,0
"00-04","Female",2,-188,2,9,0,0
"00-04","Female",2,-188,2,10,0,0
"00-04","Female",2,-188,2,11,0,0
"00-04","Female",2,-188,2,12,0,0
"00-04","Female",2,-188,2,13,0,0
"00-04","Female",2,-188,2,14,0,0
"00-04","Female",2,-188,2,15,0,0
"00-04","Female",2,-188,2,16,0,0
"00-04","Female",2,-188,2,17,0,0
"00-04","Male",6,-245,6,0,0,0
"00-04","Male",6,-245,6,1,0,0
"00-04","Male",6,-245,6,2,0,0
"00-04","Male",6,-245,6,3,0,0
"00-04","Male",6,-245,6,4,0,0
"00-04","Male",6,-245,6,5,0,0
"00-04","Male",6,-245,6,6,0,0
"00-04","Male",6,-245,6,7,0,0
"00-04","Male",6,-245,6,8,0,0
"00-04","Male",6,-245,6,9,0,0
"00-04","Male",6,-245,6,10,0,0
"00-04","Male",6,-245,6,11,0,0
"00-04","Male",6,-245,6,12,0,0
"00-04","Male",6,-245,6,13,0,0
"00-04","Male",6,-245,6,14,0,0
"00-04","Male",6,-245,6,15,0,0
"00-04","Male",6,-245,6,16,0,0
"00-04","Male",6,-245,6,17,0,0
"05-09","Female",6,-41,6,0,0,0
"05-09","Female",6,-41,6,1,0,0
"05-09","Female",6,-41,6,2,0,0
"05-09","Female",6,-41,6,3,0,0
"05-09","Female",6,-41,6,4,0,0
"05-09","Female",6,-41,6,5,0,0
"05-09","Female",6,-41,6,6,0,0
"05-09","Female",6,-41,6,7,0,0
"05-09","Female",6,-41,6,8,0,0
"05-09","Female",6,-41,6,9,0,0
"05-09","Female",6,-41,6,10,0,0
"05-09","Female",6,-41,6,11,0,0
"05-09","Female",6,-41,6,12,0,0
"05-09","Female",6,-41,6,13,0,0
"05-09","Female",6,-41,6,14,0,0
"05-09","Female",6,-41,6,15,0,0
"05-09","Female",6,-41,6,16,0,0
"05-09","Female",6,-41,6,17,0,0
"05-09","Male",2,-18,2,0,0,0
"05-09","Male",2,-18,2,1,0,0
"05-09","Male",2,-18,2,2,0,0
"05-09","Male",2,-18,2,3,0,0
"05-09","Male",2,-18,2,4,0,0
"05-09","Male",2,-18,2,5,0,0
"05-09","Male",2,-18,2,6,0,0
"05-09","Male",2,-18,2,7,0,0
"05-09","Male",2,-18,2,8,0,0
"05-09","Male",2,-18,2,9,0,0
"05-09","Male",2,-18,2,10,0,0
"05-09","Male",2,-18,2,11,0,0
"05-09","Male",2,-18,2,12,0,0
"05-09","Male",2,-18,2,13,0,0
"05-09","Male",2,-18,2,14,0,0
"05-09","Male",2,-18,2,15,0,0
"05-09","Male",2,-18,2,16,0,0
"05-09","Male",2,-18,2,17,0,0
"10-14","Female",6,16,16,0,0,0
"10-14","Female",6,16,16,1,0,0
"10-14","Female",6,16,16,2,0,0
"10-14","Female",6,16,16,3,0,0
"10-14","Female",6,16,16,4,0,0
"10-14","Female",6,16,16,5,0,0
"10-14","Female",6,16,16,6,0,0
"10-14","Female",6,16,16,7,0,0
"10-14","Female",6,16,16,8,0,0
"10-14","Female",6,16,16,9,0,0
"10-14","Female",6,16,16,10,0,0
"10-14","Female",6,16,16,11,0,0
"10-14","Female",6,16,16,12,0,0
"10-14","Female",6,16,16,13,0,0
"10-14","Female",6,16,16,14,0,0
"10-14","Female",6,16,16,15,0,0
"10-14","Female",6,16,16,16,0,0
"10-14","Female",6,16,16,17,0,0
"10-14","Male",6,-30,6,0,0,0
"10-14","Male",6,-30,6,1,0,0
"10-14","Male",6,-30,6,2,0,0
"10-14","Male",6,-30,6,3,0,0
"10-14","Male",6,-30,6,4,0,0
"10-14","Male",6,-30,6,5,0,0
"10-14","Male",6,-30,6,6,0,0
"10-14","Male",6,-30,6,7,0,0
"10-14","Male",6,-30,6,8,0,0
"10-14","Male",6,-30,6,9,0,0
"10-14","Male",6,-30,6,10,0,0
"10-14","Male",6,-30,6,11,0,0
"10-14","Male",6,-30,6,12,0,0
"10-14","Male",6,-30,6,13,0,0
