age,gender,year,value,country,pop_nb,value_sample,rate
15-19,F,2002,43467,England_Wales,1603116,43363,27.049196689447303
15-19,F,2003,44236,England_Wales,1645700,44587,27.093030321443763
15-19,F,2004,45094,England_Wales,1675943,45010,26.856521970019266
15-19,F,2005,44830,England_Wales,1698972,44845,26.39537320214812
15-19,F,2006,45509,England_Wales,1712646,45741,26.70779600688058
15-19,F,2007,44805,England_Wales,1732216,45078,26.023313489772637
15-19,F,2008,44691,England_Wales,1735770,44962,25.903201461023063
15-19,F,2009,43243,England_Wales,1743570,43446,24.917840981434644
15-19,F,2010,40591,England_Wales,1732304,40657,23.4698990477422
15-19,F,2011,36435,England_Wales,1719795,36793,21.393828915655646
15-19,F,2012,33815,England_Wales,1696197,34190,20.15685678019711
15-19,F,2013,29136,England_Wales,1677213,29362,17.506422857442676
15-19,F,2014,25977,England_Wales,1663541,25941,15.593844696343522
15-19,F,2015,23948,England_Wales,1652919,23619,14.28926644318324
15-19,F,2016,22465,England_Wales,1635896,22381,13.681187557155223
15-19,F,2017,20358,England_Wales,1604904,20318,12.659947261643063
15-19,F,2018,18976,England_Wales,1590604,19102,12.009274464291552
20-24,F,2002,110959,England_Wales,1617800,111688,69.03696377797009
20-24,F,2003,116622,England_Wales,1654080,116951,70.70456084349004
20-24,F,2004,121072,England_Wales,1687160,121330,71.91374854785556
20-24,F,2005,122145,England_Wales,1733001,122158,70.48928419545055
20-24,F,2006,127828,England_Wales,1772676,128607,72.54963682026495
20-24,F,2007,130784,England_Wales,1801211,130755,72.59282782527977
20-24,F,2008,135971,England_Wales,1834139,135954,74.12415307672974
20-24,F,2009,136012,England_Wales,1840515,136071,73.93093780816783
20-24,F,2010,137312,England_Wales,1853376,136106,73.43679857729894
20-24,F,2011,134946,England_Wales,1884229,134443,71.35173060174745
20-24,F,2012,132456,England_Wales,1893629,131981,69.69739056594507
20-24,F,2013,119719,England_Wales,1880734,120003,63.80647130322523
20-24,F,2014,112615,England_Wales,1874608,112534,60.03068374828231
20-24,F,2015,108111,England_Wales,1863394,108187,58.05911149225553
20-24,F,2016,102607,England_Wales,1837268,102520,55.80024253402334
20-24,F,2017,97506,England_Wales,1814783,97169,53.543040683100955
20-24,F,2018,91095,England_Wales,1804323,91111,50.49594778761896
25-29,F,2002,153379,England_Wales,1681071,153475,91.29596548866765
25-29,F,2003,156931,England_Wales,1647056,156980,95.30944910191275
25-29,F,2004,159984,England_Wales,1658153,159769,96.35359342593839
25-29,F,2005,164348,England_Wales,1712479,163957,95.74248793707835
25-29,F,2006,172642,England_Wales,1762909,172919,98.08730910103698
25-29,F,2007,182570,England_Wales,1824599,183209,100.41055596325549
25-29,F,2008,192960,England_Wales,1872687,192839,102.97449600493836
25-29,F,2009,194129,England_Wales,1895208,194793,102.78185824458318
25-29,F,2010,199233,England_Wales,1913018,199777,104.43027718505523
25-29,F,2011,200587,England_Wales,1923189,200639,104.32619986907163
25-29,F,2012,202370,England_Wales,1925992,202411,105.0944136839613
25-29,F,2013,196693,England_Wales,1937808,197071,101.69789783095126
25-29,F,2014,196818,England_Wales,1951740,196706,100.78494061709038
25-29,F,2015,198183,England_Wales,1966325,198064,100.72800783186909
