age,gender,nb_c,date,deaths,orphans
0-5,female,0,2021-10-31,707,0
0-5,male,0,2021-10-31,787,0
05-10,female,0,2021-10-31,101,0
05-10,male,0,2021-10-31,176,0
10-15,female,0,2021-10-31,189,0
10-15,male,0,2021-10-31,224,0
15-20,female,0.13984668319057927,2021-10-31,488,68
15-20,male,0.018075171978815214,2021-10-31,528,10
20-25,female,0.48017095907745255,2021-10-31,1064,511
20-25,male,0.15441367746096266,2021-10-31,1107,171
25-30,female,0.8982164575673776,2021-10-31,1595,1433
25-30,male,0.4547107890192534,2021-10-31,2003,911
30-35,female,1.3170728867396366,2021-10-31,2795,3681
30-35,male,0.8776859752004333,2021-10-31,3923,3443
35-40,female,1.4014350709359629,2021-10-31,4547,6372
35-40,male,1.218344491218737,2021-10-31,6704,8168
40-45,female,1.0149788921970242,2021-10-31,6429,6525
40-45,male,1.2027943255286198,2021-10-31,10136,12192
45-50,female,0.5751913100343703,2021-10-31,8389,4825
45-50,male,0.9228412968087213,2021-10-31,13888,12816
50-55,female,0.26573837096809694,2021-10-31,11725,3116
50-55,male,0.6435210044414674,2021-10-31,19583,12602
55-60,female,0.08675112991961688,2021-10-31,17135,1486
55-60,male,0.4200457547859996,2021-10-31,27719,11643
60-65,female,0.01722339201513463,2021-10-31,24194,417
60-65,male,0.27467722848667503,2021-10-31,37172,10210
65-70,female,0.001347596497239987,2021-10-31,30447,41
65-70,male,0.1988861643787473,2021-10-31,45708,9091
70-75,female,0,2021-10-31,33034,0
70-75,male,0.15041219884485468,2021-10-31,48385,7278
75-80,female,0,2021-10-31,32623,0
75-80,male,0.11143628158931848,2021-10-31,44388,4946
80-85,female,0,2021-10-31,32847,0
80-85,male,0.07165005203151997,2021-10-31,38468,2756
85-90,female,0,2021-10-31,26002,0
85-90,male,0.03636861574446587,2021-10-31,26021,946
90-95,female,0,2021-10-31,15784,0
90-95,male,0.011073104613444275,2021-10-31,12714,141
95-99,female,0,2021-10-31,5336,0
95-99,male,5.889599072219714e-4,2021-10-31,3723,2
99+,female,0,2021-10-31,1253,0
99+,male,0,2021-10-31,792,0
