"0 years","1 years","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years","11 years","12 years","13 years","14 years","15 years","16 years","17 years"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0466155610635264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0466155610635264,0.0466155610635264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0466155610635264,0.0466155610635264,0.0466155610635264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0466155610635264,0.0466155610635264,0.0466155610635264,0.0466155610635264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0466155610635264,0.0466155610635264,0.0466155610635264,0.0466155610635264,0.0466155610635264,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0823643845866068,0.0466155610635264,0.0466155610635264,0.0466155610635264,0.0466155610635264,0.0466155610635264,0,0,0,0,0,0,0,0,0,0,0,0
0.0823643845866068,0.0823643845866068,0.0466155610635264,0.0466155610635264,0.0466155610635264,0.0466155610635264,0.0466155610635264,0,0,0,0,0,0,0,0,0,0,0
0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0466155610635264,0.0466155610635264,0.0466155610635264,0.0466155610635264,0.0466155610635264,0,0,0,0,0,0,0,0,0,0
0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0466155610635264,0.0466155610635264,0.0466155610635264,0.0466155610635264,0.0466155610635264,0,0,0,0,0,0,0,0,0
0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0466155610635264,0.0466155610635264,0.0466155610635264,0.0466155610635264,0.0466155610635264,0,0,0,0,0,0,0,0
0.0807571421046163,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0466155610635264,0.0466155610635264,0.0466155610635264,0.0466155610635264,0.0502973287311473,0,0,0,0,0,0,0
0.0807571421046163,0.0807571421046163,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0466155610635264,0.0466155610635264,0.0466155610635264,0.0502973287311473,0.0502973287311473,0,0,0,0,0,0
0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0466155610635264,0.0466155610635264,0.0502973287311473,0.0502973287311473,0.0502973287311473,0,0,0,0,0
0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0466155610635264,0.0502973287311473,0.0502973287311473,0.0502973287311473,0.0502973287311473,0,0,0,0
0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0502973287311473,0.0502973287311473,0.0502973287311473,0.0502973287311473,0.0502973287311473,0,0,0
0.0630481326537011,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.101984695573368,0.0502973287311473,0.0502973287311473,0.0502973287311473,0.0502973287311473,0.063693860374933,0,0
0.0630481326537011,0.0630481326537011,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0823643845866068,0.0823643845866068,0.0823643845866068,0.101984695573368,0.101984695573368,0.0502973287311473,0.0502973287311473,0.0502973287311473,0.063693860374933,0.063693860374933,0
0.0630481326537011,0.0630481326537011,0.0630481326537011,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0823643845866068,0.0823643845866068,0.101984695573368,0.101984695573368,0.101984695573368,0.0502973287311473,0.0502973287311473,0.063693860374933,0.063693860374933,0.063693860374933
0.0630481326537011,0.0630481326537011,0.0630481326537011,0.0630481326537011,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0823643845866068,0.101984695573368,0.101984695573368,0.101984695573368,0.101984695573368,0.0502973287311473,0.063693860374933,0.063693860374933,0.063693860374933
0.0630481326537011,0.0630481326537011,0.0630481326537011,0.0630481326537011,0.0630481326537011,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.0807571421046163,0.101984695573368,0.101984695573368,0.101984695573368,0.101984695573368,0.101984695573368,0.063693860374933,0.063693860374933,0.063693860374933
