"age","gender","COVID19_deaths.x","COVID19_deaths.y","COVID19_deaths"
"0-5","M",714.225,1059.99,259
"10-15","M",200.25,301.71,76
"100+","M",716.895,1063.995,260
"15-20","M",477.93,711.555,175
"20-25","M",1001.25,1505.88,378
"25-30","M",1808.925,2703.375,670
"30-35","M",3523.065,5305.29,1335
"35-40","M",6043.545,9055.305,2256
"40-45","M",9118.05,13677.075,3415
"45-50","M",12518.295,18782.115,4692
"5-10","M",154.86,237.63,62
"50-55","M",17619.33,26442.345,6609
"55-60","M",24984.525,37424.055,9318
"60-65","M",33432.405,50206.68,12565
"65-70","M",40935.105,61702.365,15556
"70-75","M",43516.995,65328.225,16338
"75-80","M",39791.01,59918.805,15077
"80-85","M",34480.38,51950.19,13086
"85-90","M",23354.49,35137.2,8826
"90-95","M",11399.565,17168.1,4321
"95-100","M",3309.465,5022.27,1283
"0-5","F",640.8,953.19,234
"10-15","F",169.545,250.98,61
"100+","F",1121.4,1696.785,431
"15-20","F",452.565,658.155,154
"20-25","F",957.195,1437.795,360
"25-30","F",1456.485,2145.345,516
"30-35","F",2516.475,3782.055,948
"35-40","F",4067.745,6128.985,1544
"40-45","F",5796.57,8694.855,2171
"45-50","F",7590.81,11344.83,2812
"5-10","F",90.78,140.175,37
"50-55","F",10494.435,15845.115,4008
"55-60","F",15299.1,23124.87,5862
"60-65","F",21677.73,32667.45,8232
"65-70","F",27195.285,41093.97,10411
"70-75","F",29659.695,44627.715,11212
"75-80","F",29097.66,44095.05,11234
"80-85","F",29456.775,44394.09,11189
"85-90","F",23295.75,35122.515,8859
"90-95","F",14145.66,21330.63,5382
"95-100","F",4765.95,7207.665,1829
