"","age","gender","date","deaths"
"1","0-4","male","2021-10-09",105
"2","5-9","male","2021-10-09",25
"3","10-14","male","2021-10-09",33
"4","15-19","male","2021-10-09",99
"5","20-24","male","2021-10-09",243
"6","25-29","male","2021-10-09",517
"7","30-34","male","2021-10-09",826
"8","35-39","male","2021-10-09",1542
"9","40-44","male","2021-10-09",2423
"10","45-49","male","2021-10-09",3201
"11","50-54","male","2021-10-09",4630
"12","55-59","male","2021-10-09",6887
"13","60-64","male","2021-10-09",8825
"14","65-69","male","2021-10-09",9871
"15","70-74","male","2021-10-09",10095
"16","75-79","male","2021-10-09",9429
"17","80-84","male","2021-10-09",8718
"18","85+","male","2021-10-09",10834
"19","0-4","female","2021-10-09",80
"20","5-9","female","2021-10-09",22
"21","10-14","female","2021-10-09",22
"22","15-19","female","2021-10-09",48
"23","20-24","female","2021-10-09",137
"24","25-29","female","2021-10-09",328
"25","30-34","female","2021-10-09",541
"26","35-39","female","2021-10-09",925
"27","40-44","female","2021-10-09",1491
"28","45-49","female","2021-10-09",1914
"29","50-54","female","2021-10-09",2947
"30","55-59","female","2021-10-09",4283
"31","60-64","female","2021-10-09",5600
"32","65-69","female","2021-10-09",6144
"33","70-74","female","2021-10-09",6284
"34","75-79","female","2021-10-09",5836
"35","80-84","female","2021-10-09",5340
"36","85+","female","2021-10-09",6557
