children,gender,age
0,male,1
0,male,2
0,male,3
0,male,4
0,male,5
0,male,6
0,male,7
0,male,8
0,male,9
0,male,10
0,male,11
0,male,12
0,male,13
0,male,14
0.01338255652976465,male,15
0.025711323653052322,male,16
0.04254480863940355,male,17
0.05713669190433743,male,18
0.08478098291263225,male,19
0.16937527592983015,male,20
0.2530121929896521,male,21
0.33884095173835715,male,22
0.4210390391807824,male,23
0.5047605398268402,male,24
0.62419196668185,male,25
0.7500089762388031,male,26
0.8694925479515384,male,27
1.0136077720382983,male,28
1.1243987309552597,male,29
1.2573548752158261,male,30
1.3889980142640221,male,31
1.5080897329544303,male,32
1.6121952802029897,male,33
1.7303771017657394,male,34
1.8217455205983262,male,35
1.9145060482186305,male,36
2.0049413977060935,male,37
2.012728074025353,male,38
2.032251157452614,male,39
2.043557364613473,male,40
2.0224960291950262,male,41
2.02276420249781,male,42
1.9279153162447802,male,43
1.8578082998922674,male,44
1.7059462072737916,male,45
1.5813739749580702,male,46
1.4292534533420154,male,47
1.3472213104198558,male,48
1.2280688644619464,male,49
1.1237998471434696,male,50
1.0067753689973036,male,51
0.9129156534728362,male,52
0.8404415251847976,male,53
0.7682687487504148,male,54
0.6934448503489989,male,55
0.6254705885749091,male,56
0.5533983784809973,male,57
0.4927030387774483,male,58
0.4542912708400023,male,59
0.3952152116116692,male,60
0.3281578361444346,male,61
0.2881573228611537,male,62
0.2706643405190438,male,63
0.2420234963180326,male,64
0.207703714023364,male,65
0.18602647254779486,male,66
0.14815117179823628,male,67
0.13206685120571238,male,68
0.11725991777208787,male,69
0.09946180194819905,male,70
0.08435563405147099,male,71
0.06320796038953999,male,72
0.06860554929630013,male,73
0.057210963835387096,male,74
0.060756543446392676,male,75
0.05128676493476137,male,76
0.04914838581613946,male,77
0.034581178648851976,male,78
0.034581178648851976,male,79
0.020807550961427983,male,80
0.012726742880619903,male,81
0,male,82
0,male,83
0,male,84
0,male,85
0,male,86
0,male,87
0,male,88
0,male,89
0,male,90
0,male,91
0,male,92
0,male,93
0,male,94
0,male,95
0,male,96
0,male,97
0,male,98
0,male,99
0,male,100
