"","age","gender","date","deaths"
"1","0-4","female","2021-04-30",43
"2","0-4","male","2021-04-30",30
"3","5-9","female","2021-04-30",8
"4","5-9","male","2021-04-30",20
"5","10-14","female","2021-04-30",16
"6","10-14","male","2021-04-30",8
"7","15-19","female","2021-04-30",42
"8","15-19","male","2021-04-30",41
"9","20-24","female","2021-04-30",133
"10","20-24","male","2021-04-30",156
"11","25-29","female","2021-04-30",214
"12","25-29","male","2021-04-30",285
"13","30-34","female","2021-04-30",293
"14","30-34","male","2021-04-30",515
"15","35-39","female","2021-04-30",412
"16","35-39","male","2021-04-30",836
"17","40-44","female","2021-04-30",546
"18","40-44","male","2021-04-30",1331
"19","45-49","female","2021-04-30",725
"20","45-49","male","2021-04-30",1834
"21","50-54","female","2021-04-30",1240
"22","50-54","male","2021-04-30",2669
"23","55-59","female","2021-04-30",1852
"24","55-59","male","2021-04-30",3910
"25","60-64","female","2021-04-30",2621
"26","60-64","male","2021-04-30",5137
"27","65-69","female","2021-04-30",3150
"28","65-69","male","2021-04-30",5996
"29","70-74","female","2021-04-30",3336
"30","70-74","male","2021-04-30",6566
"31","75-79","female","2021-04-30",3441
"32","75-79","male","2021-04-30",5983
"33","80+","female","2021-04-30",8487
"34","80+","male","2021-04-30",11819
