country,date,gender,age,COVID19_deaths
SouthAfrica,30/04/2021,Female,0-9,10.23992051
SouthAfrica,01/05/2021,Female,10-19,16.02770167
SouthAfrica,02/05/2021,Female,20-29,106.8513444
SouthAfrica,03/05/2021,Female,30-39,624.635151
SouthAfrica,04/05/2021,Female,40-49,1860
SouthAfrica,05/05/2021,Female,50-59,3518
SouthAfrica,06/05/2021,Female,60-69,3726
SouthAfrica,07/05/2021,Female,70-79,3152
SouthAfrica,08/05/2021,Female,80+,2530
SouthAfrica,09/05/2021,Male,0-9,12.76007949
SouthAfrica,10/05/2021,Male,10-19,19.97229833
SouthAfrica,11/05/2021,Male,20-29,133.1486556
SouthAfrica,12/05/2021,Male,30-39,778.364849
SouthAfrica,13/05/2021,Male,40-49,2236
SouthAfrica,14/05/2021,Male,50-59,4658
SouthAfrica,15/05/2021,Male,60-69,4976
SouthAfrica,16/05/2021,Male,70-79,4106
SouthAfrica,17/05/2021,Male,80+,2449
