"age","gender","covid19_deaths","nb_orphans"
"0-19","female",298,13
"0-19","male",312,1
"20-49","female",7795,11408
"20-49","male",9370,15588
"50-69","female",20766,3884
"50-69","male",21345,16890
"70+","female",13977,0
"70+","male",15316,1152
