"country","date","gender","age","COVID19_deaths"
"SouthAfrica","2021-10-09","Female","0-9",147
"SouthAfrica","2021-10-09","Female","10-19",151
"SouthAfrica","2021-10-09","Female","20-29",689
"SouthAfrica","2021-10-09","Female","30-39",2480
"SouthAfrica","2021-10-09","Female","40-49",4626
"SouthAfrica","2021-10-09","Female","50-59",9266
"SouthAfrica","2021-10-09","Female","60-69",11500
"SouthAfrica","2021-10-09","Female","70-79",9454
"SouthAfrica","2021-10-09","Female","80+",4523
"SouthAfrica","2021-10-09","Male","0-9",154
"SouthAfrica","2021-10-09","Male","10-19",158
"SouthAfrica","2021-10-09","Male","20-29",2386
"SouthAfrica","2021-10-09","Male","30-39",2189
"SouthAfrica","2021-10-09","Male","40-49",4795
"SouthAfrica","2021-10-09","Male","50-59",9351
"SouthAfrica","2021-10-09","Male","60-69",11994
"SouthAfrica","2021-10-09","Male","70-79",8952
"SouthAfrica","2021-10-09","Male","80+",6364
