"age","gender","COVID19_deaths","nb_orphans"
"0-19","Female",618,31
"0-19","Male",703,5
"20-49","Female",8403,13137
"20-49","Male",17679,31129
"50-69","Female",29703,5073
"50-69","Male",55565,28955
"70+","Female",33839,0
"70+","Male",53734,1880
