"age","gender","country","date","deaths","nb_c","orphans"
"0-9","Female","Peru","2021-10-09",314,0,0
"0-9","Male","Peru","2021-10-09",393,0,0
"10-19","Female","Peru","2021-10-09",304,0.100513663292856,31
"10-19","Male","Peru","2021-10-09",310,0.017428336572915,5
"20-29","Female","Peru","2021-10-09",882,1.06189645071768,937
"20-29","Male","Peru","2021-10-09",1372,0.597823635649822,820
"30-39","Female","Peru","2021-10-09",2296,2.02484738653286,4649
"30-39","Male","Peru","2021-10-09",4519,1.78834604466906,8082
"40-49","Female","Peru","2021-10-09",5225,1.44508568490907,7551
"40-49","Male","Peru","2021-10-09",11788,1.88559568993302,22227
"50-59","Female","Peru","2021-10-09",11184,0.414592038462617,4637
"50-59","Male","Peru","2021-10-09",22975,0.918295872224157,21098
"60-69","Female","Peru","2021-10-09",18519,0.0235502811380857,436
"60-69","Male","Peru","2021-10-09",32590,0.241073557021476,7857
"70-79","Female","Peru","2021-10-09",17809,0,0
"70-79","Male","Peru","2021-10-09",30152,0.0539944567935543,1628
"80-89","Female","Peru","2021-10-09",12209,0,0
"80-89","Male","Peru","2021-10-09",19153,0.0128307058960547,246
"90+","Female","Peru","2021-10-09",3821,0,0
"90+","Male","Peru","2021-10-09",4429,0.00127407637016407,6
