country,date,age,gender,deaths
Peru,11/10/2021,0-9,Male,392
Peru,11/10/2021,Oct-19,Male,309
Peru,11/10/2021,20-29,Male,1361
Peru,11/10/2021,30-39,Male,4496
Peru,11/10/2021,40-49,Male,11770
Peru,11/10/2021,50-59,Male,22948
Peru,11/10/2021,60-69,Male,32544
Peru,11/10/2021,70-79,Male,30067
Peru,11/10/2021,80-89,Male,19082
Peru,11/10/2021,90+,Male,4399
Peru,11/10/2021,0-9,Female,309
Peru,11/10/2021,Oct-19,Female,302
Peru,11/10/2021,20-29,Female,874
Peru,11/10/2021,30-39,Female,2291
Peru,11/10/2021,40-49,Female,5210
Peru,11/10/2021,50-59,Female,11172
Peru,11/10/2021,60-69,Female,18478
Peru,11/10/2021,70-79,Female,17771
Peru,11/10/2021,80-89,Female,12157
Peru,11/10/2021,90+,Female,3795
