"country","region","date","primary_secondary","ps_lower","ps_upper","primary","p_lower","p_upper","orphanhood","or_lower","or_upper"
"Cuba","Americas",2021-12-31,3252.56499308092,1582.65727097758,5946.52680975765,1654.2515026052,724.543690216185,3400.98494703283,1472.62580020767,639.236521343251,3054.18750881023
"Cyprus","European",2021-12-31,23.6039366656521,13.6072916107188,40.7992929368055,13.8680152659017,7.04023957801177,27.2473040417609,12.7168320178986,6.40315593873519,25.1988055760902
"Czech Republic","Eastern European",2021-12-31,8218.16739264987,4922.77583272746,13286.0609708422,4443.47505842169,2310.18739692423,8246.47272884667,3973.18410419153,2044.95539783371,7456.21241534345
"Democratic Republic of the Congo","African ",2021-12-31,256229.759977113,183913.325190095,327995.659432103,226813.827014615,162813.077900181,290359.902841771,215760.772009347,154880.944725836,276212.269483898
"Denmark","European",2021-12-31,242.61724159511,140.628051802055,414.029758697711,181.41004274059,92.8352698601804,349.440123631976,169.032942878819,85.7839853444641,328.290581876288
"Djibouti","Eastern Mediterranean",2021-12-31,1621.18251732283,1010.84516616499,2355.92236594865,1342.68511842521,768.615334936804,2065.45372660279,1247.89383254147,707.169780916868,1934.16185640616
"Dominica","Americas",2021-12-31,3.30211429308137,-6.75253915787068,15.1459262946395,1.76044041585985,-3.73228704791667,8.77945650256187,1.57249257001496,-3.34667296798701,7.89543432902957
"Dominican Republic","Americas",2021-12-31,7260.84545101425,2990.50427470239,12960.557406955,5304.63913081452,2041.60339585633,10234.2811453712,4863.51239157358,1858.02253915023,9477.84654549838
"Ecuador","Americas",2021-12-31,56031.8332767021,36993.6218158297,79949.0400048126,42697.0177702114,24952.7145729083,67343.4925442165,39312.5355897304,22695.7170291277,62682.0476510609
"Egypt","Eastern Mediterranean",2021-12-31,402841.653404847,305924.424920897,500517.975599543,373858.754694347,280346.961361653,464940.451604365,354172.848540449,264721.915191647,441222.244956577
"El Salvador","Americas",2021-12-31,6436.63339715518,3643.70288033948,10515.0684578657,4060.54375913154,2043.79840515938,7438.27475395487,3674.47763302952,1829.92254085905,6790.42277683339
"Equatorial Guinea","African ",2021-12-31,3610.93759051624,2595.72027071392,4650.98604573431,3252.31119320039,2339.0332319831,4187.29216364331,3094.62025869115,2225.42306440028,3984.27902969134
"Eritrea","African ",2021-12-31,4866.85889406202,1581.70284768204,8110.85272375618,4448.96024548816,1452.67793911682,7396.89438221449,4232.68777009906,1382.24287887679,7037.37671792794
"Estonia","European",2021-12-31,164.420920220291,95.5944707834971,279.409389786485,114.757618839428,58.7854588266399,220.433333207498,106.437410693643,54.0654635426017,206.106872756445
"Eswatini","African ",2021-12-31,4774.45301518614,3409.94259722133,6213.45588256649,4277.91628570047,2884.11686788892,5717.10514504475,4020.30629732934,2687.36373402845,5401.50233761236
"Ethiopia","African ",2021-12-31,209654.36482311,136268.60664839,282758.430564472,191164.581821483,124497.972962417,257465.862863625,181882.982667484,118451.463455534,244978.640039072
"Finland","European",2021-12-31,87.2041920432738,50.2643052735343,150.093900783109,54.5269354734377,27.6770291703881,106.181477646579,50.2064154884926,25.2737287406302,98.6145117087158
"France","European",2021-12-31,3855.14368321708,3651.04103201454,4060.42511215229,3072.43105383374,2909.76751253579,3236.03404476288,2865.79924704421,2714.0754016575,3018.3993607665
"Gabon","African ",2021-12-31,3188.67930541798,1571.56127247085,4777.4904137275,2921.23059870176,1439.23860515413,4365.46738642553,2779.02316350976,1369.36568537153,4153.41709935864
"Gambia (Republic of The)","African ",2021-12-31,6288.69946874888,4669.67517750817,7915.74311312765,5584.67330765974,4145.09108444791,7029.35915096901,5312.87281510649,3943.38620111641,6687.25870900677
"Georgia","European",2021-12-31,2682.67909344544,1540.03119795691,4599.27632960254,2263.88180645009,1159.3297788251,4359.95509983953,2126.73493400453,1079.66825578268,4127.63552849002
"Germany","European",2021-12-31,7686.75556088136,7230.74740849821,8142.82948725057,5389.28331057024,5069.57012265137,5709.04261347774,4812.87848181311,4527.35986387951,5098.43828255779
"Ghana","African ",2021-12-31,41030.7378791644,20168.3185848043,61333.0587083281,37702.5736010471,18539.1667563451,56272.2294202384,35862.2582639097,17627.5883745304,53528.0641025708
"Greece","European",2021-12-31,422.016005376157,245.695218763447,732.254558346596,243.770760078948,125.044878908818,481.190492769283,223.285500402512,113.590229835662,444.44415471889
"Guatemala","Americas",2021-12-31,54054.7961779152,39516.781835354,68352.8477255863,47007.3853452567,31498.2917861813,62424.7678260755,43971.8455770982,29136.8447277989,58875.3559829903
"Guinea","African ",2021-12-31,26723.1756906999,16265.4383012757,37095.0945558431,23922.7494087675,14569.0169642736,33203.8787931296,22761.5202356516,13860.6739250023,31592.1057989999
"Guinea Bissau","African ",2021-12-31,5977.18900292276,4273.89005254461,7655.46633018552,5381.13583755004,3851.58372794107,6888.20075260496,5120.21374740169,3664.79852259623,6554.24604687869
"Guyana","Americas",2021-12-31,2086.61990629309,1302.24671369166,3102.87859665236,1623.22236649291,911.508996319316,2626.46396005139,1497.82218478694,832.081184475608,2448.50662199369
"Haiti","Americas",2021-12-31,12193.4966176777,2646.2698441816,22801.0656269569,10791.8318576174,2270.10585913871,20563.1610233245,10121.6159789297,2124.51671920384,19382.951592312
"Honduras","Americas",2021-12-31,15714.6363274738,9723.32012691941,23521.3428140947,11966.4356517702,6620.72178237112,19644.1047652733,11017.0910756028,6028.3966782744,18272.1156300548
"Hungary","Eastern European",2021-12-31,6086.55089004045,3646.44110850786,9998.56374869631,3039.12619124159,1587.71454535909,5744.14918681495,2701.91120845614,1398.53934587264,5157.96843543094
"India","South-East Asia",2021-12-31,3214852.28919119,2624119.03026772,3803539.92494154,2049022.20354383,1672511.72809349,2424228.87809611,1999030.29533011,1631705.89755997,2365082.70225027
"Indonesia","South-East Asia",2021-12-31,608452.446803968,380668.588440016,906009.490083178,441369.363813583,243365.485849317,731240.266304079,404386.399086039,220396.427548578,677718.414039328
"Iran (Islamic Republic of)","Eastern Mediterranean",2021-12-31,76188.3064703892,66726.6252710278,85787.7388876817,57652.1291459133,50492.420632704,64916.0747969996,56849.2303349876,49789.2323014603,64012.0138362576
"Iraq","Eastern Mediterranean",2021-12-31,123029.008561822,101891.759382543,143044.270241277,113963.319524216,94554.2173995748,131839.548278608,108315.893726306,89740.2968699065,125363.119245224
"Ireland","European",2021-12-31,198.941077969472,80.2114985276672,398.951988001559,149.893643182773,55.892790954207,332.787546055958,139.73839046556,51.7992188464557,312.42130533338
"Israel","European",2021-12-31,3828.65329031161,2488.65204038803,5505.04980370521,4467.45943345795,2760.28999377593,6460.81230236442,4295.30210124864,2642.46191982301,6216.80603765403
"Italy","European",2021-12-31,6761.93641838747,6504.41155464132,7019.61528915271,4219.42419684392,4058.72960077752,4380.2148927407,3804.21757466223,3659.33590882586,3949.18588375763
"Jamaica","Americas",2021-12-31,1250.60889969586,665.477116953574,2144.57391055741,770.405298136171,365.494711580532,1483.77730393642,695.806974388057,327.671848900193,1353.80180515224
"Jordan","Eastern Mediterranean",2021-12-31,11687.6083281877,7578.31764395223,16538.8069403602,9860.14000709291,5879.57703088258,14695.046602371,9185.38612350949,5425.18205878001,13793.373468348
"Kazakhstan","European",2021-12-31,27809.4699170968,17272.0771013654,43005.1220642834,30317.1326960261,17165.4824722297,49782.6645048307,28998.3017503388,16309.6564189447,47832.9836779774
"Kenya","African ",2021-12-31,22057.2126633059,21655.0243804841,22463.204600513,20380.6493770141,20009.031326227,20755.7819673562,19531.8453701467,19175.7042987579,19891.3546091472
"Kuwait","Eastern Mediterranean",2021-12-31,1826.5202480004,1075.20548095132,2922.49131850629,1199.62757895736,625.931720219969,2158.45231860754,1089.24936308293,563.095257832451,1980.91183880893
"Kyrgyzstan","European",2021-12-31,6538.21783382688,3932.26463241959,10165.6942638859,7518.15231554326,4265.76005867127,11949.8623769971,7219.96001452342,4078.39006647426,11499.6874503417
"Lao People's Democratic Republic","Western Pacific",2021-12-31,1547.74388319041,-710.359361730288,4119.80509801034,1259.78305807897,-578.846870537695,3472.70586120805,1168.39744051581,-535.23695446019,3233.7586899044
"Latvia","European",2021-12-31,467.890562051493,273.284835940478,797.287220646417,344.327006857499,177.416072123967,664.052310510086,320.492839207633,163.762273756069,623.324834718956
"Lebanon","Eastern Mediterranean",2021-12-31,7757.15853438448,4880.45158330396,11850.4438617869,5060.23161360142,2775.0382900825,8814.15330351365,4591.97018257576,2490.91842148126,8098.18319329048
"Lesotho","African ",2021-12-31,5725.53654975961,3005.63441910996,8722.97980253527,5255.43941113602,2708.00001956817,8057.62116984556,4962.23163443678,2546.5771579584,7625.52513731184
"Liberia","African ",2021-12-31,8454.37683342145,4689.17553823376,12162.4674793229,7644.35228191769,4237.57640257075,10997.0095596615,7273.78021362039,4032.11651749223,10463.8737701975
"Libya","Eastern Mediterranean",2021-12-31,3916.02487452563,2197.33155944451,6370.06432769726,2689.88187389,1343.74349316216,4860.02374478518,2452.01120891915,1212.33984959618,4473.177265376
"Lithuania","European",2021-12-31,969.392325017105,563.941542532919,1646.90610103901,699.654557543491,358.369670600048,1346.4028239696,650.379405408364,330.324171887235,1262.24499212123
"Luxembourg","European",2021-12-31,2.0983295393152,0.720703549395404,4.29453773976866,1.30876755965717,0.424781717285379,2.96482904357205,1.20486669200562,0.389514675455609,2.7473322393201
"Madagascar","African ",2021-12-31,52103.9028995865,32250.7139466292,72290.7041978545,47446.5229897637,29384.5707046992,65745.3437587227,45143.9349784583,27956.8854554029,62550.4285792575
"Malawi","African ",2021-12-31,31495.169915993,20977.4001261872,41927.4003802828,28568.1650304858,19027.8645999982,38030.8757361218,25999.5689064693,17317.047709669,34611.4765585928
"Malaysia","Western Pacific",2021-12-31,2699.35237214424,-760.302918831154,7067.89170210034,1671.48282681792,-469.684427957133,4747.33793995329,1510.26417466204,-425.413564432573,4328.94164487543
"Maldives","South-East Asia",2021-12-31,65.3268989396556,38.3426617225082,105.87886914773,37.1996471750743,19.0652844374053,68.5857611221846,33.3915813210986,16.9393793680445,62.3013601930638
"Mali","African ",2021-12-31,59424.6598822094,45195.9761825152,73385.6017819951,52602.9722299293,40003.9757677174,64962.2726784655,50039.5412976997,38054.4435297722,61797.474887382
"Malta","European",2021-12-31,17.5875462120578,10.2464923340744,30.3283510389884,11.497907730193,5.92880366918738,22.4610798988116,10.6180769403908,5.43098720051707,20.9232947258153
"Mauritania","African ",2021-12-31,14764.5523677669,11523.0297350167,18045.5575994326,13234.8860205732,10330.6514775373,16177.7564637474,12592.6608269474,9829.66122370257,15392.9542662743
"Mauritius","African ",2021-12-31,105.882135663916,43.6567287525963,207.066310601381,47.4768469435532,17.9470350262407,104.285912692453,41.8948449599066,15.7275482824925,92.9204933955478
"Mexico","Americas",2021-12-31,288276.80130627,261076.611201946,315595.776192604,207773.054559678,188168.748708597,227462.973532874,195105.523420265,176696.455110267,213594.985181846
"Monaco","European",2021-12-31,2.22905138680592,1.15347624412513,4.21081301680026,1.43836010744984,0.654021031826583,3.10693286886229,1.32714886869092,0.597832315175085,2.89339565242062
"Mongolia","Western Pacific",2021-12-31,28.6311085719565,-1535.16367578653,1536.29136877662,25.2577097577868,-1364.48819282764,1360.50224506512,23.6771322631245,-1281.72685254839,1276.57883775164
"Montenegro","European",2021-12-31,239.690048497836,140.119669768974,409.794344061715,176.586947579655,90.9895264788205,341.909724875465,164.375872184532,83.9686958517408,320.900126810328
"Morocco","Eastern Mediterranean",2021-12-31,23363.0654985883,8547.77055545229,42972.1760059081,17586.4415603255,6075.91598834463,34852.0137158225,16172.038461672,5547.73094397808,32321.2334020954
"Mozambique","African ",2021-12-31,91675.7749804922,63178.1076354249,120494.085484376,81797.6246238266,56375.414557276,107512.367519116,77823.305887645,53635.4964349559,102288.346725535
"Myanmar","South-East Asia",2021-12-31,20652.0508943394,6968.37517641661,39091.33508426,13875.0147360626,4350.77175740032,28594.7457173051,12623.161681142,3941.06692258508,26226.5772813253
"Namibia","African ",2021-12-31,12689.1357026366,9976.27080868139,15342.0469985547,11789.1532273622,9162.49286108295,14248.7508532191,11175.211144859,8646.49695295014,13524.8174367784
"Nepal","South-East Asia",2021-12-31,9128.65079474816,4412.59194924382,16346.6984433346,5270.81724253291,2308.79085792303,10590.8451120651,4736.26694009801,2060.86447224054,9604.75825165556
"Netherlands","European",2021-12-31,1567.0910514851,919.651671051705,2680.24959151483,1118.8067695498,580.11962236554,2170.22056190429,1039.25729174192,534.476984132217,2033.04571035743
"Nicaragua","Americas",2021-12-31,7853.82494991533,4662.09565986049,12100.6284540425,5863.60372511021,3116.74502514379,9891.04188443784,5387.54094376869,2833.77521013864,9178.29884391058
"Niger","African ",2021-12-31,74816.0957902026,57403.373704954,91906.6814247159,66134.5935180891,50744.9589524491,81241.5804513958,62909.9818527148,48270.7633597326,77280.2779056906
"Nigeria","African ",2021-12-31,416719.327989476,270110.869629919,565315.225207607,367974.932503273,238515.524345874,499189.305287263,359376.783166848,232942.340098157,487525.184134205
"North Macedonia","European",2021-12-31,519.264651047735,295.329160430625,907.553799650805,332.421145930697,166.953386574861,659.126938089631,306.557960347388,152.750038275734,613.290016403289
"Oman","Eastern Mediterranean",2021-12-31,11489.3511522329,8236.34799983567,14823.4157316853,9757.30854008578,6346.59278240043,13368.7061324674,9097.46896767913,5850.1083478461,12577.4857601534
"Pakistan","Eastern Mediterranean",2021-12-31,392376.86430997,224259.476176077,559739.779959584,364827.682522,207995.240117844,519069.192743403,346133.908369784,197193.847018742,492986.027422605
"Panama","Americas",2021-12-31,5696.91853984313,3273.74360032145,8870.23344411868,4428.98759819703,2318.72106550154,7438.25818222228,4086.55763284754,2120.96488199961,6926.70463114509
"Papua New Guinea","Western Pacific",2021-12-31,1452.23541828802,-4739.87848839109,7774.00318750982,1347.95231899482,-4391.06369816642,7205.18312099154,1280.57230981772,-4171.74670592639,6841.57542787062
