"","country","mean"
"1","Antigua and Barbuda",-14.9510959305722
"2","Australia",-7127.2852302914
"3","Barbados",-177.940491730873
"4","Bhutan",-198.490005225237
"5","Brunei Darussalam",-55.04578651891
"6","China",-26031.3639718603
"7","Cook Islands",-17.8907565708203
"8","Dem. People's Republic of Korea",-3549.17095826491
"9","Fiji",-58.4611593684494
"10","Grenada",-133.516796897778
"11","Iceland",-5.31636738597905
"12","Japan",-9735.34436521573
"13","Kiribati",-22.70105886744
"14","Marshall Islands",-39.6962643309262
"15","Micronesia (Federated States of)",-55.3609140364079
"16","Nauru",-0.729234324246296
"17","New Zealand",-1338.57242649678
"18","Niue",-2.48722762361798
"19","Norway",-50.5801588619746
"20","Palau",-20.1951727386128
"21","Saint Kitts and Nevis",-103.683497061732
"22","Samoa",-44.2955016678041
"23","Solomon Islands",-30.0621414701889
"24","Sri Lanka",-4415.58819867177
"25","Togo",-3494.37437552968
"26","Tonga",-18.3551806796376
"27","Tuvalu",-5.47450246039407
"28","Vanuatu",-38.1840203866663
"29","Viet Nam",-3105.49925255164
