"country","region","date","primary_secondary","ps_lower","ps_upper","primary","p_lower","p_upper","orphanhood","or_lower","or_upper"
"Global","Global","2021-12-27",12398672.4711391,9976664.74827333,14988142.795924,9770639.65390636,8115609.200918,11558933.1555093,9256068.53898651,7655802.84148053,10990829.8275065
"Global","Global","2022-03-28",14382493.1735655,11635364.0722025,17163885.4236322,11313516.86515,9411699.94203619,13250555.7546034,10719742.1080657,8888887.32276206,12594050.6046383
