"","country","total","lower","upper","date"
"30","Australia",-18100,-21400,-14400,2021-12-31
"31","New Zealand",-872,-1330,-451,2021-12-31
"34","Singapore",-1770,-2360,-1090,2021-12-31
"51","Iceland",-314,-703,11,2021-12-31
"910","Australia",-51134.7092765202,-60457.6120727918,-40681.757656458,2022-04-01
"771","Iceland",-857.135135135135,-1919,30.027027027027,2022-04-01
"1191","New Zealand",-5642.35294117648,-8605.88235294117,-2918.23529411765,2022-04-01
"1481","Singapore",-2714.85507246377,-3619.80676328502,-1671.85990338165,2022-04-01
