"country","region","date","primary_secondary","ps_lower","ps_upper","primary","p_lower","p_upper","orphanhood","or_lower","or_upper"
"Global","Global","2021-12-27",12398672.4711391,9930319.93709433,14909817.0829807,9770639.65390636,8121131.14553929,11491633.3917836,9256068.53898651,7667069.92556823,10923422.6562596
"African ","African ","2021-12-27",2988143.12967352,2411747.82729102,3503619.14988554,2660384.67618941,2147824.67753051,3114850.25871753,2527417.30260608,2033711.0673073,2966811.92825618
"Americas","Americas","2021-12-27",1239127.72273089,1203082.03913704,1285686.37189854,925464.489445544,892578.816977057,969916.579719373,850954.896950778,819612.968523406,892780.737984138
"Eastern Mediterranean","Eastern Mediterranean","2021-12-27",3426802.31104374,2641735.37640854,4146901.92256035,3114203.84180413,2392010.30283566,3775500.62303329,2955559.46026531,2268209.17765541,3585356.0289276
"European","European","2021-12-27",430278.850504025,402017.14034272,477607.0503654,283863.454034525,259248.908544021,330287.448304351,248211.876201519,225190.680751081,292402.350372505
"South-East Asia","South-East Asia","2021-12-27",3994194.73834374,1705804.94871138,6418745.39750422,2578981.98254397,1131626.88960739,4097319.27350734,2486253.53242481,1069845.24540848,3962832.09353906
"Western Pacific","Western Pacific","2021-12-27",320125.718843168,114663.651227633,582824.648368728,207741.209888788,99582.008681618,365684.286408983,187671.470538007,91163.3796076398,329992.691781663
"Aruba","Americas","2021-12-27",109.776940441464,67.6859827058461,170.070908407159,66.4783859164093,35.6385371379373,117.714815739401,59.9590814545738,31.8048524619262,107.379126049515
"Afghanistan","Eastern Mediterranean","2021-12-27",126893.119756281,37280.7803960166,208530.923507886,115564.214022305,34196.5019228166,190149.88211841,109955.648574964,32530.1310513968,180916.69735102
"Angola","African ","2021-12-27",82321.2198632154,17127.4593642756,145495.686782857,72945.808468833,15172.8284202295,129018.310100143,69392.517271616,14433.6594645587,122735.478667251
"Anguilla","Americas","2021-12-27",1.38947504942264,-2.14909853804748,5.81896056128577,0.767571055553538,-1.21050862436599,3.45763506117621,0.687424351006112,-1.07828697541871,3.11408931723806
"Albania","European","2021-12-27",618.89143378956,368.459730322804,1054.93401839198,412.587184850707,217.493750264497,797.341457434052,381.509351500849,199.500923030238,743.47798338992
"Andorra","European","2021-12-27",2.54655566839449,1.11205766215204,4.29350311621259,1.37366299547479,0.582046332653162,2.43418625842717,1.25257765364395,0.529888385832313,2.22459662796801
"United Arab Emirates","Eastern Mediterranean","2021-12-27",1303.40008985801,-589.544240046733,3644.47899762996,587.36090483764,-255.050426946824,1736.42832992266,518.479823291247,-224.992010843877,1542.53327355185
"Argentina","Americas","2021-12-27",50551.6217513615,41111.4761371388,59908.2517009595,39404.1336360324,32045.6998916903,46697.4683331914,37097.4186681325,30169.7470721264,43963.8021101965
"Armenia","European","2021-12-27",925.720184846433,499.053516421598,1668.69771588924,687.769796948529,333.042459563394,1391.20282771395,640.570845018672,307.568330032758,1305.23684262106
"Austria","European","2021-12-27",717.245816487205,422.895296036871,1276.38001114464,484.593796098947,252.397346280614,987.65121840401,448.489861244652,231.685500910506,922.386604476212
