"Country.Region","mult"
"Afghanistan",26.1011419249592
"Albania",5.37768106931924
"Algeria",8.66794136392607
"Andorra",2.34285714285714
"Angola",36.1581920903955
"Antigua and Barbuda",1
"Argentina",1.211924655839
"Armenia",2.58404415454089
"Australia",1
"Austria",1.33255661545183
"Azerbaijan",6.40105288346494
"Bahamas",1.47838214783821
"Bahrain",2.81205164992826
"Bangladesh",14.7121687090339
"Barbados",2.12692307692308
"Belarus",15.3460021513087
"Belgium",1.15774240231548
"Belize",1.6312292358804
"Benin",51.2422360248447
"Bhutan",36
"Bolivia (Plurinational State of)",8.18089430894309
"Bosnia and Herzegovina",1.55482815057283
"Botswana",7.03764320785597
"Brazil",1.27879302605702
"Brunei Darussalam",1.3469387755102
"Bulgaria",2.66515910192215
"Burkina Faso",67.2955974842767
"Myanmar",5.24185177496367
"Burundi",113.421052631579
"Cabo Verde",1.87215909090909
"Cambodia",5.81009296148738
"Cameroon",22.312263641275
"Canada",1.42950605168466
"Central African Republic",139.60396039604
"Chad",83.9779005524862
"Chile",1
"China",3.69148277995463
"Colombia",1.37753767065306
"Comoros",9.42675159235669
"Congo",31.8801089918256
"Democratic Republic of the Congo",81.9087136929461
"Costa Rica",1
"Cote d'Ivoire",47.4789915966387
"Croatia",1.82644759929813
"Cuba",3.19634703196347
"Cyprus",1.26802507836991
"Czech Republic",1.35901907055274
"Denmark",3.16879951249238
"Djibouti",20.3703703703704
"Dominica",3.17021276595745
"Dominican Republic",4.89757475865317
"Ecuador",3.32531694427125
"Egypt",12.1827877896285
"El Salvador",7.03451882845188
"Equatorial Guinea",15.8285714285714
"Eritrea",94.8684210526316
"Estonia",2.91407867494824
"Eswatini",10.4374520337682
"Ethiopia",29.9841430012974
"Fiji",2.12034383954155
"Finland",5.12252042007001
"France",1.275595
"Gabon",13.8194444444444
"Gambia (Republic of The)",18.4839650145773
"Georgia",1.14492753623188
"Germany",1.81371454098727
"Ghana",27.7220077220077
"Greece",1.22174122174122
"Grenada",1.275
"Guatemala",3.17253368100826
"Guinea",68.2864450127877
"Guinea Bissau",29.1946308724832
"Guyana",2.55218216318786
"Haiti",36.4229765013055
"Honduras",5.3100738042749
"Hungary",1.3729393150615
"Iceland",1
"India",8.45299759494565
"Indonesia",5.10777686787791
"Iran (Islamic Republic of)",2.08197194656779
"Iraq",7.57513039158871
"Ireland",1
"Israel",1.12580371224069
"Italy",1.884979840177
"Jamaica",2.61221188839466
"Japan",6.03621730382294
"Jordan",2.133881292974
"Kazakhstan",2.6906814562627
"Kenya",31.7962067683154
"Republic of Korea",1
"Kuwait",1.44246353322528
"Kyrgyzstan",8.06566738044254
"Lao People's Democratic Republic",12.4731182795699
"Latvia",2.71334792122538
"Lebanon",3.9587674087071
"Lesotho",26.7669172932331
"Liberia",27.7700348432056
"Libya",6.42732049036778
"Lithuania",2.70745904968187
"Luxembourg",1.16939890710383
"Madagascar",63.3885102239533
"Malawi",23.2233502538071
"Malaysia",1.52761457109283
"Maldives",1.12977099236641
"Mali",50.7575757575758
"Malta",1.54411764705882
"Mauritania",9.22632794457275
"Mauritius",1
"Mexico",2.66508142191111
"Republic of Moldova",1.60583941605839
"Monaco",1.39473684210526
"Mongolia",2.71976687712482
"Montenegro",1.69224388220655
"Morocco",10.5731025658293
"Mozambique",38.9332003988036
"Namibia",4.95458298926507
"Nepal",10.608935656374
"Netherlands",2.12696335078534
"New Zealand",1
"Nicaragua",153.917050691244
"Niger",65.8181818181818
"Nigeria",53.7953795379538
"North Macedonia",2.53768844221106
"Norway",1
"Oman",2.98833819241983
"Pakistan",22.9495731517644
"Panama",1.37318255250404
"Papua New Guinea",26.4406779661017
"Paraguay",1.35346487006737
"Peru",1.72184123538408
"Philippines",3.57253805529668
"Poland",2.2049580645826
"Portugal",2.13136375626484
"Qatar",2.52427184466019
"Romania",2.02546296296296
"Russian Federation",3.53519167677115
"Rwanda",16.2222222222222
"Saint Kitts and Nevis",1.07142857142857
"Saint Lucia",1.69830508474576
"Saint Vincent and the Grenadines",2.88888888888889
"San Marino",1.18
"Sao Tome and Principe",4.12280701754386
"Saudi Arabia",3.70620705193196
"Senegal",20.4232804232804
"Serbia",2.94163913795816
"Seychelles",1
"Sierra Leone",61.5447154471545
"Singapore",1
"Slovakia",1.52690111211301
"Slovenia",1.24888173197352
"Somalia",66.7666916729182
"South Africa",3.31340172253003
"South Sudan",108.888888888889
"Spain",1.81197919579442
"Sri Lanka",1
"Sudan",25.0975682978085
"Suriname",2.17830109335576
"Sweden",1.18223383409536
"Switzerland",1.2687239093067
"Syrian Arab Republic",9.3545046599931
"Tajikistan",235.2
"United Republic of Tanzania",179.10447761194
"Thailand",1.62226933357913
"Timor-Leste",10.655737704918
"Togo",36.4112903225806
"Trinidad and Tobago",1.78807947019868
"Tunisia",2.83546482068129
"Turkey",2.24620876385668
"Uganda",22.3132969034608
"Ukraine",1.77298017396756
"United Arab Emirates",4.31608133086876
"England & Wales",1.13349788056018
"Uruguay",1.59157212317666
"United States of America",1.3708102337656
"Uzbekistan",46.5319865319865
"Vanuatu",35
"Venezuela (Bolivarian Republic of)",30.7807807807808
"Viet Nam",2.23189479533247
"Occupied Palestinian Territory",2.56149623907298
"Yemen",33.0645161290323
"Zambia",21.7728976968398
"Zimbabwe",16.1670663469225
