"","age","gender","excess_deaths","covid_deaths","deaths","nb_excess_sample","nb_covid19_sample"
"1","0-14","Female",0,62,68,0,68
"2","0-14","Male",0,76,72,0,72
"3","15-24","Female",1188.8,350,1120,1120,371
"4","15-24","Male",4693.2,530,4635,4635,589
"5","25-34","Female",5838.4,1439,5750,5750,1451
"6","25-34","Male",15780.8,2458,15862,15862,2485
"7","35-44","Female",10540.2,3527,10405,10405,3555
"8","35-44","Male",26322,6550,26130,26130,6541
"9","45-54","Female",6690,9500,9443,6711,9443
"10","45-54","Male",23997.6,18682,24035,24035,18655
"11","55-64","Female",31678.2,25829,31672,31672,25765
"12","55-64","Male",66612,45445,66923,66923,45566
"13","65-74","Female",80068.2,49516,79880,79880,49171
"14","65-74","Male",130162.4,78042,130840,130840,78077
"15","75-84","Female",95271.2,69455,95328,95328,69317
"16","75-84","Male",127300.8,89860,126809,126809,90148
"17","85+","Female",84920,100441,100793,84935,100793
"18","85+","Male",79848.4,74434,79507,79507,74740
