"","age","gender","deaths.x","deaths.y","deaths"
"1","0-14","Female",62,181,119
"2","0-14","Male",76,202,126
"3","15-24","Female",1188.8,2132.2,943.4
"4","15-24","Male",4693.2,6382.2,1689
"5","25-34","Female",5838.4,8128.8,2290.4
"6","25-34","Male",15780.8,21634,5853.2
"7","35-44","Female",10540.2,15609.2,5069
"8","35-44","Male",26322,36502.6,10180.6
"9","45-54","Female",9500,16603,7103
"10","45-54","Male",23997.6,35987.4,11989.8
"11","55-64","Female",31678.2,46712.8,15034.6
"12","55-64","Male",66612,85031.8,18419.8
"13","65-74","Female",80068.2,102256.6,22188.4
"14","65-74","Male",130162.4,156530.4,26368
"15","75-84","Female",95271.2,113112.4,17841.2
"16","75-84","Male",127300.8,144539,17238.2
"17","85+","Female",100441,114590,14149
"18","85+","Male",79848.4,86507.2,6658.79999999999
