"age","gender","excess_deaths","covid_deaths","deaths","child_age","nb_c","orphans"
"0-14","Female",-2781.2,181,181,0,0,0
"0-14","Female",-2781.2,181,181,1,0,0
"0-14","Female",-2781.2,181,181,2,0,0
"0-14","Female",-2781.2,181,181,3,0,0
"0-14","Female",-2781.2,181,181,4,0,0
"0-14","Female",-2781.2,181,181,5,0,0
"0-14","Female",-2781.2,181,181,6,0,0
"0-14","Female",-2781.2,181,181,7,0,0
"0-14","Female",-2781.2,181,181,8,0,0
"0-14","Female",-2781.2,181,181,9,0,0
"0-14","Female",-2781.2,181,181,10,0,0
"0-14","Female",-2781.2,181,181,11,0,0
"0-14","Female",-2781.2,181,181,12,0,0
"0-14","Female",-2781.2,181,181,13,0,0
"0-14","Female",-2781.2,181,181,14,0,0
"0-14","Female",-2781.2,181,181,15,0,0
"0-14","Female",-2781.2,181,181,16,0,0
"0-14","Female",-2781.2,181,181,17,0,0
"0-14","Male",-3604.8,202,202,0,0,0
"0-14","Male",-3604.8,202,202,1,0,0
"0-14","Male",-3604.8,202,202,2,0,0
"0-14","Male",-3604.8,202,202,3,0,0
"0-14","Male",-3604.8,202,202,4,0,0
"0-14","Male",-3604.8,202,202,5,0,0
"0-14","Male",-3604.8,202,202,6,0,0
"0-14","Male",-3604.8,202,202,7,0,0
"0-14","Male",-3604.8,202,202,8,0,0
"0-14","Male",-3604.8,202,202,9,0,0
"0-14","Male",-3604.8,202,202,10,0,0
"0-14","Male",-3604.8,202,202,11,0,0
"0-14","Male",-3604.8,202,202,12,0,0
"0-14","Male",-3604.8,202,202,13,0,0
"0-14","Male",-3604.8,202,202,14,0,0
"0-14","Male",-3604.8,202,202,15,0,0
"0-14","Male",-3604.8,202,202,16,0,0
"0-14","Male",-3604.8,202,202,17,0,0
"15-24","Female",2132.2,706,2132.2,0,0.0456956636511486,97
"15-24","Female",2132.2,706,2132.2,1,0.0385280352989186,82
"15-24","Female",2132.2,706,2132.2,2,0.0313605400369004,67
"15-24","Female",2132.2,706,2132.2,3,0.0241939771810013,52
"15-24","Female",2132.2,706,2132.2,4,0.0170285488032661,36
"15-24","Female",2132.2,706,2132.2,5,0.00992432652478215,21
"15-24","Female",2132.2,706,2132.2,6,0.011168403739566,24
"15-24","Female",2132.2,706,2132.2,7,0.00837628304516499,18
"15-24","Female",2132.2,706,2132.2,8,0.00558417386325362,12
"15-24","Female",2132.2,706,2132.2,9,0.00279208093306288,6
"15-24","Female",2132.2,706,2132.2,10,0,0
"15-24","Female",2132.2,706,2132.2,11,0,0
"15-24","Female",2132.2,706,2132.2,12,0,0
"15-24","Female",2132.2,706,2132.2,13,0,0
"15-24","Female",2132.2,706,2132.2,14,0,0
"15-24","Female",2132.2,706,2132.2,15,0,0
"15-24","Female",2132.2,706,2132.2,16,0,0
"15-24","Female",2132.2,706,2132.2,17,0,0
"15-24","Male",6382.2,1036,6382.2,0,0.0236736040634931,151
"15-24","Male",6382.2,1036,6382.2,1,0.0196557413410406,125
"15-24","Male",6382.2,1036,6382.2,2,0.0156379673326874,100
"15-24","Male",6382.2,1036,6382.2,3,0.0116206784968381,74
"15-24","Male",6382.2,1036,6382.2,4,0.00760391772050885,49
"15-24","Male",6382.2,1036,6382.2,5,0.00360929676286069,23
"15-24","Male",6382.2,1036,6382.2,6,0.00307495598006105,20
"15-24","Male",6382.2,1036,6382.2,7,0.00249780384364937,16
"15-24","Male",6382.2,1036,6382.2,8,0.00185002698013629,12
"15-24","Male",6382.2,1036,6382.2,9,0.000925011502754465,6
"15-24","Male",6382.2,1036,6382.2,10,0,0
"15-24","Male",6382.2,1036,6382.2,11,0,0
"15-24","Male",6382.2,1036,6382.2,12,0,0
"15-24","Male",6382.2,1036,6382.2,13,0,0
"15-24","Male",6382.2,1036,6382.2,14,0,0
"15-24","Male",6382.2,1036,6382.2,15,0,0
"15-24","Male",6382.2,1036,6382.2,16,0,0
"15-24","Male",6382.2,1036,6382.2,17,0,0
"25-34","Female",8128.8,2909,8128.8,0,0.09932989235617,807
"25-34","Female",8128.8,2909,8128.8,1,0.096539974903081,785
"25-34","Female",8128.8,2909,8128.8,2,0.0937495166256663,762
"25-34","Female",8128.8,2909,8128.8,3,0.0909609961078306,739
"25-34","Female",8128.8,2909,8128.8,4,0.0881774483592753,717
"25-34","Female",8128.8,2909,8128.8,5,0.0859288767318954,698
"25-34","Female",8128.8,2909,8128.8,6,0.0864519880515143,703
"25-34","Female",8128.8,2909,8128.8,7,0.0786262843287515,639
"25-34","Female",8128.8,2909,8128.8,8,0.070800596473079,576
"25-34","Female",8128.8,2909,8128.8,9,0.0629749821790785,512
"25-34","Female",8128.8,2909,8128.8,10,0.0551365961897467,448
"25-34","Female",8128.8,2909,8128.8,11,0.0600708338799904,488
"25-34","Female",8128.8,2909,8128.8,12,0.04999697630566,406
"25-34","Female",8128.8,2909,8128.8,13,0.0399231088215899,325
"25-34","Female",8128.8,2909,8128.8,14,0.0298490870003735,243
"25-34","Female",8128.8,2909,8128.8,15,0.0197281099211868,160
