Period,age,fertility_rate,country,gender,date
2000-2005,15-19,42.675455792981765,United States of America,Female,2003
2000-2005,15-19,42.64493664764484,United States of America,Female,2004
2005-2010,15-19,39.56902806950544,United States of America,Female,2005
2005-2010,15-19,39.55674497915877,United States of America,Female,2006
2005-2010,15-19,39.61570247933884,United States of America,Female,2007
2005-2010,15-19,39.48686416992734,United States of America,Female,2008
2005-2010,15-19,39.5885788449059,United States of America,Female,2009
2010-2015,15-19,27.910462962962963,United States of America,Female,2010
2010-2015,15-19,27.985764466629693,United States of America,Female,2011
2010-2015,15-19,27.993501670998885,United States of America,Female,2012
2010-2015,15-19,27.99438202247191,United States of America,Female,2013
2010-2015,15-19,27.88499006904379,United States of America,Female,2014
2015-2020,15-19,19.933759664025963,United States of America,Female,2015
2015-2020,15-19,19.848597951957125,United States of America,Female,2016
2015-2020,15-19,19.86808551433228,United States of America,Female,2017
2015-2020,15-19,19.892706333973127,United States of America,Female,2018
2015-2020,15-19,19.8786132718717,United States of America,Female,2019
2000-2005,20-24,104.09483731910089,United States of America,Female,2003
2000-2005,20-24,104.03998384491115,United States of America,Female,2004
2005-2010,20-24,100.96871896722939,United States of America,Female,2005
2005-2010,20-24,100.63839592116874,United States of America,Female,2006
2005-2010,20-24,100.87368013174465,United States of America,Female,2007
2005-2010,20-24,100.8456600881395,United States of America,Female,2008
2005-2010,20-24,100.59453562280619,United States of America,Female,2009
2010-2015,20-24,82.48801128349788,United States of America,Female,2010
2010-2015,20-24,82.30572540300167,United States of America,Female,2011
2010-2015,20-24,82.52983032293378,United States of America,Female,2012
2010-2015,20-24,82.28725604820578,United States of America,Female,2013
2010-2015,20-24,82.45744301994301,United States of America,Female,2014
2015-2020,20-24,72.25221631205673,United States of America,Female,2015
2015-2020,20-24,72.1290465631929,United States of America,Female,2016
2015-2020,20-24,72.08875211845509,United States of America,Female,2017
2015-2020,20-24,72.11755175517551,United States of America,Female,2018
2015-2020,20-24,72.07809662186705,United States of America,Female,2019
2000-2005,25-29,115.47028613352899,United States of America,Female,2003
2000-2005,25-29,115.29762153139995,United States of America,Female,2004
2005-2010,25-29,115.00682523267838,United States of America,Female,2005
2005-2010,25-29,114.95481557377049,United States of America,Female,2006
2005-2010,25-29,114.99230924913985,United States of America,Female,2007
2005-2010,25-29,115.08659217877096,United States of America,Female,2008
2005-2010,25-29,115.22791658469407,United States of America,Female,2009
2010-2015,25-29,106.13464153876045,United States of America,Female,2010
2010-2015,25-29,106.1286028918893,United States of America,Female,2011
2010-2015,25-29,106.27909391222275,United States of America,Female,2012
2010-2015,25-29,106.22839333891525,United States of America,Female,2013
2010-2015,25-29,106.13494682801614,United States of America,Female,2014
