age,gender,excess,COVID19,max_deaths,nb_orphans
0-14,Female,-2781,181,181,0
0-14,Male,-3605,202,202,0
15-44,Female,25870,10707,25870,33187
15-44,Male,64519,17783,64519,67536
45-64,Female,59855,56357,63316,10969
45-64,Male,121019,96377,121019,34602
65+,Female,306692,267396,329959,15
65+,Male,387577,296826,387577,3035
