"year","age","value","gender","country"
"2018","15-19",18976,"F","England_Wales"
"2017","15-19",20358,"F","England_Wales"
"2016","15-19",22465,"F","England_Wales"
"2015","15-19",23948,"F","England_Wales"
"2014","15-19",25977,"F","England_Wales"
"2013","15-19",29136,"F","England_Wales"
"2012","15-19",33815,"F","England_Wales"
"2011","15-19",36435,"F","England_Wales"
"2010","15-19",40591,"F","England_Wales"
"2009","15-19",43243,"F","England_Wales"
"2008","15-19",44691,"F","England_Wales"
"2007","15-19",44805,"F","England_Wales"
"2006","15-19",45509,"F","England_Wales"
"2005","15-19",44830,"F","England_Wales"
"2004","15-19",45094,"F","England_Wales"
"2003","15-19",44236,"F","England_Wales"
"2002","15-19",43467,"F","England_Wales"
"2018","20-24",91095,"F","England_Wales"
"2017","20-24",97506,"F","England_Wales"
"2016","20-24",102607,"F","England_Wales"
"2015","20-24",108111,"F","England_Wales"
"2014","20-24",112615,"F","England_Wales"
"2013","20-24",119719,"F","England_Wales"
"2012","20-24",132456,"F","England_Wales"
"2011","20-24",134946,"F","England_Wales"
"2010","20-24",137312,"F","England_Wales"
"2009","20-24",136012,"F","England_Wales"
"2008","20-24",135971,"F","England_Wales"
"2007","20-24",130784,"F","England_Wales"
"2006","20-24",127828,"F","England_Wales"
"2005","20-24",122145,"F","England_Wales"
"2004","20-24",121072,"F","England_Wales"
"2003","20-24",116622,"F","England_Wales"
"2002","20-24",110959,"F","England_Wales"
"2018","25-29",180858,"F","England_Wales"
"2017","25-29",190028,"F","England_Wales"
"2016","25-29",196132,"F","England_Wales"
"2015","25-29",198183,"F","England_Wales"
"2014","25-29",196818,"F","England_Wales"
"2013","25-29",196693,"F","England_Wales"
"2012","25-29",202370,"F","England_Wales"
"2011","25-29",200587,"F","England_Wales"
"2010","25-29",199233,"F","England_Wales"
"2009","25-29",194129,"F","England_Wales"
"2008","25-29",192960,"F","England_Wales"
"2007","25-29",182570,"F","England_Wales"
"2006","25-29",172642,"F","England_Wales"
"2005","25-29",164348,"F","England_Wales"
"2004","25-29",159984,"F","England_Wales"
"2003","25-29",156931,"F","England_Wales"
"2002","25-29",153379,"F","England_Wales"
"2018","30-34",212707,"F","England_Wales"
"2017","30-34",216787,"F","England_Wales"
"2016","30-34",220129,"F","England_Wales"
"2015","30-34",217755,"F","England_Wales"
"2014","30-34",215642,"F","England_Wales"
"2013","30-34",212306,"F","England_Wales"
"2012","30-34",216242,"F","England_Wales"
"2011","30-34",207151,"F","England_Wales"
"2010","30-34",202457,"F","England_Wales"
"2009","30-34",191600,"F","England_Wales"
"2008","30-34",192450,"F","England_Wales"
"2007","30-34",191124,"F","England_Wales"
"2006","30-34",189407,"F","England_Wales"
"2005","30-34",188153,"F","England_Wales"
"2004","30-34",190550,"F","England_Wales"
"2003","30-34",187214,"F","England_Wales"
"2002","30-34",180532,"F","England_Wales"
"2018","35-39",124567,"F","England_Wales"
"2017","35-39",125114,"F","England_Wales"
"2016","35-39",125205,"F","England_Wales"
"2015","35-39",120614,"F","England_Wales"
"2014","35-39",115171,"F","England_Wales"
"2013","35-39",111500,"F","England_Wales"
"2012","35-39",114797,"F","England_Wales"
"2011","35-39",115444,"F","England_Wales"
"2010","35-39",115841,"F","England_Wales"
"2009","35-39",114288,"F","England_Wales"
"2008","35-39",116220,"F","England_Wales"
"2007","35-39",115380,"F","England_Wales"
"2006","35-39",110509,"F","England_Wales"
"2005","35-39",104113,"F","England_Wales"
"2004","35-39",102228,"F","England_Wales"
"2003","35-39",97386,"F","England_Wales"
"2002","35-39",90449,"F","England_Wales"
"2018","40-44",26499,"F","England_Wales"
"2017","40-44",26956,"F","England_Wales"
"2016","40-44",27447,"F","England_Wales"
"2015","40-44",27065,"F","England_Wales"
"2014","40-44",27021,"F","England_Wales"
"2013","40-44",27148,"F","England_Wales"
"2012","40-44",28019,"F","England_Wales"
"2011","40-44",27518,"F","England_Wales"
"2010","40-44",25973,"F","England_Wales"
"2009","40-44",25357,"F","England_Wales"
"2008","40-44",24991,"F","England_Wales"
"2007","40-44",24041,"F","England_Wales"
"2006","40-44",22512,"F","England_Wales"
"2005","40-44",21155,"F","England_Wales"
"2004","40-44",19884,"F","England_Wales"
"2003","40-44",18205,"F","England_Wales"
"2002","40-44",16441,"F","England_Wales"
"2018","45-49",2366,"F","England_Wales"
"2017","45-49",2357,"F","England_Wales"
"2016","45-49",2286,"F","England_Wales"
"2015","45-49",2176,"F","England_Wales"
"2014","45-49",1989,"F","England_Wales"
"2013","45-49",2010,"F","England_Wales"
"2012","45-49",1975,"F","England_Wales"
"2011","45-49",1832,"F","England_Wales"
"2010","45-49",1758,"F","England_Wales"
"2009","45-49",1619,"F","England_Wales"
"2008","45-49",1428,"F","England_Wales"
"2007","45-49",1309,"F","England_Wales"
"2006","45-49",1194,"F","England_Wales"
"2005","45-49",1091,"F","England_Wales"
"2004","45-49",909,"F","England_Wales"
"2003","45-49",875,"F","England_Wales"
"2002","45-49",895,"F","England_Wales"
