"age","gender","year","value","country","pop_nb","rate"
"40-44","F","2016",27447,"England_Wales",1870975,14.6698913668007
"40-44","F","2017",26956,"England_Wales",1819794,14.8126656094041
"40-44","F","2018",26499,"England_Wales",1790194,14.8023063422177
"45-49","F","2002",895,"England_Wales",1688650,0.530009178929914
"45-49","F","2003",875,"England_Wales",1718698,0.509106311870963
"45-49","F","2004",909,"England_Wales",1749197,0.519667024354604
"45-49","F","2005",1091,"England_Wales",1792971,0.608487253837346
"45-49","F","2006",1194,"England_Wales",1842383,0.648073717571211
"45-49","F","2007",1309,"England_Wales",1895002,0.690764442464968
"45-49","F","2008",1428,"England_Wales",1947236,0.733347164904511
"45-49","F","2009",1619,"England_Wales",1999599,0.809662337298628
"45-49","F","2010",1758,"England_Wales",2047110,0.858771634157422
"45-49","F","2011",1832,"England_Wales",2078162,0.881548214239313
"45-49","F","2012",1975,"England_Wales",2094703,0.942854428527577
"45-49","F","2013",2010,"England_Wales",2098249,0.957941597970498
"45-49","F","2014",1989,"England_Wales",2094357,0.949694822802416
"45-49","F","2015",2176,"England_Wales",2077005,1.04766237924319
"45-49","F","2016",2286,"England_Wales",2072516,1.10300716616904
"45-49","F","2017",2357,"England_Wales",2054066,1.14748016860218
"45-49","F","2018",2366,"England_Wales",2025216,1.16827044621413
