"age","gender","nb_covid19","nb_excess","deaths"
"00-04","female",1,-116,1
"05-09","female",3,-39,3
"10-14","female",4,20,20
"15-19","female",8,-18,8
"20-24","female",27,-4,27
"25-29","female",49,55,55
"30-34","female",96,172,172
"35-39","female",171,345,345
"40-44","female",275,411,411
"45-49","female",531,477,531
"50-54","female",957,876,957
"55-59","female",1456,1805,1805
"60-64","female",2150,2352,2352
"65-69","female",3046,1217,3046
"70-74","female",4913,5447,5447
"75-79","female",7247,6814,7247
"80-84","female",10810,7798,10810
"85-89","female",13377,7428,13377
"90+","female",17947,12470,17947
"all-ages","female",0,0,0
"00-04","male",2,-160,2
"05-09","male",0,-13,0
"10-14","male",5,-38,5
"15-19","male",14,-32,14
"20-24","male",33,-34,33
"25-29","male",73,59,73
"30-34","male",144,247,247
"35-39","male",241,542,542
"40-44","male",420,620,620
"45-49","male",825,919,919
"50-54","male",1536,2189,2189
"55-59","male",2656,3710,3710
"60-64","male",4035,4539,4539
"65-69","male",5284,2889,5284
"70-74","male",8267,8830,8830
"75-79","male",11114,10657,11114
"80-84","male",14129,11825,14129
"85-89","male",14039,11326,14039
"90+","male",12000,11628,12000
"all-ages","male",0,0,0
