age,gender,deaths
1-10,Male,0
11-20,Male,8
21-30,Male,81
31-40,Male,107
41-50,Male,240
51-60,Male,168
61-70,Male,149
71-80,Male,154
81-90,Male,37
91+,Male,0
1-10,Female,15
11-20,Female,8
21-30,Female,72
31-40,Female,136
41-50,Female,80
51-60,Female,91
61-70,Female,64
71-80,Female,90
81-90,Female,9
91+,Female,15
