year,age,gender,country,value,pop,fertility_rate
2002,15-19,Male,France,3726,1971,1.8904109589041096
2002,20-24,Male,France,53996,1999,27.011505752876438
2002,25-29,Male,France,180394,1883,95.80138077535847
2002,30-34,Male,France,257634,2020,127.54158415841584
2002,35-39,Male,France,178486,2166,82.40350877192982
2002,40-44,Male,France,74062,2178,34.00459136822773
2002,45-49,Male,France,24801,2097,11.82689556509299
2002,50-54,Male,France,8300,2019,4.110946012877662
2002,55-59,Male,France,3335,2034,1.6396263520157326
2002,60-64,Male,France,1122,1541,0.72809863724854
2002,65+,Male,France,129,4196,0.030743565300285988
2003,15-19,Male,France,3726,1971,1.8904109589041096
2003,20-24,Male,France,53996,1999,27.011505752876438
2003,25-29,Male,France,180394,1883,95.80138077535847
2003,30-34,Male,France,257634,2020,127.54158415841584
2003,35-39,Male,France,178486,2166,82.40350877192982
2003,40-44,Male,France,74062,2178,34.00459136822773
2003,45-49,Male,France,24801,2097,11.82689556509299
2003,50-54,Male,France,8300,2019,4.110946012877662
2003,55-59,Male,France,3335,2034,1.6396263520157326
2003,60-64,Male,France,1122,1541,0.72809863724854
2003,65+,Male,France,129,4196,0.030743565300285988
2004,15-19,Male,France,3726,1971,1.8904109589041096
2004,20-24,Male,France,53996,1999,27.011505752876438
2004,25-29,Male,France,180394,1883,95.80138077535847
2004,30-34,Male,France,257634,2020,127.54158415841584
2004,35-39,Male,France,178486,2166,82.40350877192982
2004,40-44,Male,France,74062,2178,34.00459136822773
2004,45-49,Male,France,24801,2097,11.82689556509299
2004,50-54,Male,France,8300,2019,4.110946012877662
2004,55-59,Male,France,3335,2034,1.6396263520157326
2004,60-64,Male,France,1122,1541,0.72809863724854
2004,65+,Male,France,129,4196,0.030743565300285988
2005,15-19,Male,France,3726,1971,1.8904109589041096
2005,20-24,Male,France,53996,1999,27.011505752876438
2005,25-29,Male,France,180394,1883,95.80138077535847
2005,30-34,Male,France,257634,2020,127.54158415841584
2005,35-39,Male,France,178486,2166,82.40350877192982
2005,40-44,Male,France,74062,2178,34.00459136822773
2005,45-49,Male,France,24801,2097,11.82689556509299
2005,50-54,Male,France,8300,2019,4.110946012877662
2005,55-59,Male,France,3335,2034,1.6396263520157326
2005,60-64,Male,France,1122,1541,0.72809863724854
2005,65+,Male,France,129,4196,0.030743565300285988
2006,15-19,Male,France,3726,1971,1.8904109589041096
2006,20-24,Male,France,53996,1999,27.011505752876438
2006,25-29,Male,France,180394,1883,95.80138077535847
2006,30-34,Male,France,257634,2020,127.54158415841584
2006,35-39,Male,France,178486,2166,82.40350877192982
2006,40-44,Male,France,74062,2178,34.00459136822773
2006,45-49,Male,France,24801,2097,11.82689556509299
2006,50-54,Male,France,8300,2019,4.110946012877662
2006,55-59,Male,France,3335,2034,1.6396263520157326
2006,60-64,Male,France,1122,1541,0.72809863724854
2006,65+,Male,France,129,4196,0.030743565300285988
2007,15-19,Male,France,3726,1971,1.8904109589041096
2007,20-24,Male,France,53996,1999,27.011505752876438
2007,25-29,Male,France,180394,1883,95.80138077535847
2007,30-34,Male,France,257634,2020,127.54158415841584
2007,35-39,Male,France,178486,2166,82.40350877192982
2007,40-44,Male,France,74062,2178,34.00459136822773
2007,45-49,Male,France,24801,2097,11.82689556509299
2007,50-54,Male,France,8300,2019,4.110946012877662
2007,55-59,Male,France,3335,2034,1.6396263520157326
2007,60-64,Male,France,1122,1541,0.72809863724854
2007,65+,Male,France,129,4196,0.030743565300285988
2008,15-19,Male,France,3784,1952,1.9385245901639345
2008,20-24,Male,France,55482,1992,27.852409638554217
2008,25-29,Male,France,182925,1913,95.62205959226345
2008,30-34,Male,France,256125,1960,130.67602040816325
2008,35-39,Male,France,183422,2171,84.48733302625519
2008,40-44,Male,France,75695,2175,34.802298850574715
2008,45-49,Male,France,25588,2121,12.064120697784064
2008,50-54,Male,France,8477,2017,4.202776400594943
2008,55-59,Male,France,3211,2014,1.5943396226415094
2008,60-64,Male,France,1235,1683,0.7338086749851456
2008,65+,Male,France,100,4239,0.02359046945034206
2009,15-19,Male,France,3852,1940,1.9855670103092784
2009,20-24,Male,France,54701,1981,27.612821807168096
2009,25-29,Male,France,183121,1938,94.48968008255935
2009,30-34,Male,France,253449,1912,132.55700836820083
2009,35-39,Male,France,182243,2167,84.09921550530687
2009,40-44,Male,France,76509,2173,35.208927749654855
2009,45-49,Male,France,26336,2143,12.289314045730285
2009,50-54,Male,France,8759,2022,4.331849653808111
2009,55-59,Male,France,3135,1991,1.574585635359116
2009,60-64,Male,France,1201,1807,0.6646375207526287
2009,65+,Male,France,114,4299,0.026517794836008374
2010,15-19,Male,France,3235,1937,1.670108415074858
2010,20-24,Male,France,52892,1969,26.862366683595734
2010,25-29,Male,France,183322,1951,93.96309584828293
2010,30-34,Male,France,260153,1884,138.08545647558387
2010,35-39,Male,France,183348,2146,85.43709226467847
2010,40-44,Male,France,78729,2175,36.19724137931034
2010,45-49,Male,France,27067,2160,12.531018518518518
2010,50-54,Male,France,8978,2032,4.418307086614173
2010,55-59,Male,France,3130,1978,1.5824064711830133
2010,60-64,Male,France,1261,1889,0.6675489677077819
2010,65+,Male,France,109,4392,0.02481785063752277
2011,15-19,Male,France,3133,1924,1.6283783783783783
2011,20-24,Male,France,49144,1934,25.410548086866598
2011,25-29,Male,France,175114,1969,88.93550025393601
2011,30-34,Male,France,260412,1898,137.20337197049525
2011,35-39,Male,France,177241,2055,86.24866180048662
2011,40-44,Male,France,82312,2185,37.671395881006866
2011,45-49,Male,France,28813,2173,13.259549010584445
2011,50-54,Male,France,9435,2069,4.560173997100049
2011,55-59,Male,France,3303,1963,1.6826286296484971
2011,60-64,Male,France,1244,1941,0.6409067490984028
2011,65+,Male,France,139,4675,0.029732620320855614
2012,15-19,Male,France,3133,1924,1.6283783783783783
2012,20-24,Male,France,49144,1934,25.410548086866598
2012,25-29,Male,France,175114,1969,88.93550025393601
2012,30-34,Male,France,260412,1898,137.20337197049525
2012,35-39,Male,France,177241,2055,86.24866180048662
2012,40-44,Male,France,82312,2185,37.671395881006866
2012,45-49,Male,France,28813,2173,13.259549010584445
2012,50-54,Male,France,9435,2069,4.560173997100049
2012,55-59,Male,France,3303,1963,1.6826286296484971
2012,60-64,Male,France,1244,1941,0.6409067490984028
2012,65+,Male,France,139,4675,0.029732620320855614
2013,15-19,Male,France,2874,1930,1.489119170984456
2013,20-24,Male,France,45946,1911,24.0429094714809
2013,25-29,Male,France,173301,1961,88.37378888322284
2013,30-34,Male,France,256974,1929,133.21617418351477
2013,35-39,Male,France,176030,1997,88.14722083124687
2013,40-44,Male,France,83507,2192,38.09625912408759
2013,45-49,Male,France,28753,2172,13.238029465930019
2013,50-54,Male,France,9647,2096,4.602576335877862
2013,55-59,Male,France,3279,1965,1.668702290076336
2013,60-64,Male,France,1165,1926,0.6048805815160956
2013,65+,Male,France,145,4846,0.02992158481221626
2014,15-19,Male,France,2801,1941,1.443070582174137
2014,20-24,Male,France,43367,1891,22.93336858804865
2014,25-29,Male,France,169753,1945,87.27660668380463
2014,30-34,Male,France,257676,1955,131.80358056265985
2014,35-39,Male,France,177422,1950,90.98564102564103
2014,40-44,Male,France,85031,2187,38.880201188843166
2014,45-49,Male,France,30269,2170,13.94884792626728
2014,50-54,Male,France,10050,2120,4.740566037735849
2014,55-59,Male,France,3472,1972,1.7606490872210954
2014,60-64,Male,France,1191,1906,0.6248688352570829
2014,65+,Male,France,135,5018,0.026903148664806698
2015,15-19,Male,France,2592,1956,1.3251533742331287
2015,20-24,Male,France,39085,1876,20.834221748400854
2015,25-29,Male,France,162844,1923,84.68226729069163
2015,30-34,Male,France,250049,1968,127.057418699187
2015,35-39,Male,France,177749,1925,92.33714285714285
2015,40-44,Male,France,82700,2166,38.18097876269621
2015,45-49,Male,France,30145,2171,13.885306310456011
2015,50-54,Male,France,10348,2137,4.842302292934019
2015,55-59,Male,France,3521,1984,1.7746975806451613
2015,60-64,Male,France,1248,1895,0.6585751978891821
2015,65+,Male,France,140,5179,0.02703224560726009
2016,15-19,Male,France,2471,1958,1.2620020429009193
2016,20-24,Male,France,36311,1871,19.407268840192412
2016,25-29,Male,France,155476,1910,81.40104712041885
2016,30-34,Male,France,244419,1975,123.75645569620254
2016,35-39,Male,France,178704,1917,93.22065727699531
2016,40-44,Male,France,81868,2130,38.435680751173706
2016,45-49,Male,France,30131,2174,13.85970561177553
2016,50-54,Male,France,10436,2144,4.867537313432836
2016,55-59,Male,France,3588,1998,1.7957957957957957
2016,60-64,Male,France,1187,1887,0.6290408055113937
2016,65+,Male,France,106,5330,0.019887429643527205
2017,15-19,Male,France,2343,1961,1.1947985721570626
2017,20-24,Male,France,34195,1868,18.305674518201286
2017,25-29,Male,France,148087,1891,78.31147540983606
2017,30-34,Male,France,239631,1974,121.3936170212766
2017,35-39,Male,France,177992,1930,92.22383419689119
2017,40-44,Male,France,81022,2077,39.0091478093404
