"children","gender","age"
0,"female",1
0,"female",2
0,"female",3
0,"female",4
0,"female",5
0,"female",6
0,"female",7
0,"female",8
0,"female",9
0,"female",10
0,"female",11
0,"female",12
0,"female",13
0,"female",14
0.00471002458563536,"female",15
0.00942027588026605,"female",16
0.0141308187297572,"female",17
0.0188416644185059,"female",18
0.0235527444703194,"female",19
0.0644559746690754,"female",20
0.107280978038713,"female",21
0.150108206516349,"female",22
0.192937738064298,"female",23
0.235769042012134,"female",24
0.346458097343452,"female",25
0.465115354627516,"female",26
0.583776687074131,"female",27
0.702442205637956,"female",28
0.821110906747819,"female",29
0.958197419008644,"female",30
1.10545640141661,"female",31
1.25271618527694,"female",32
1.39206579480375,"female",33
1.53141596317772,"female",34
1.61259157328978,"female",35
1.68326514435845,"female",36
1.75393480228346,"female",37
1.77692810786974,"female",38
1.79991842637301,"female",39
1.77199676397933,"female",40
1.73120151956127,"female",41
1.69040320347565,"female",42
1.57577644989273,"female",43
1.46114744505314,"female",44
1.32949011950142,"female",45
1.18258122044438,"female",46
1.03567162681833,"female",47
0.899880766164214,"female",48
0.764089336116608,"female",49
0.627147735345099,"female",50
0.498005021177045,"female",51
0.368862490384875,"female",52
0.305719317090516,"female",53
0.242576187091752,"female",54
0.179499558526077,"female",55
0.124554537944424,"female",56
0.0696096056386088,"female",57
0.0554001665680248,"female",58
0.0411907431123304,"female",59
0.0270009517808867,"female",60
0.0152495862078047,"female",61
0.00349823448972903,"female",62
0.00271965017809616,"female",63
0.00194106653298659,"female",64
0.00116364265842918,"female",65
0.000581821031344793,"female",66
0,"female",67
0,"female",68
0,"female",69
0,"female",70
0,"female",71
0,"female",72
0,"female",73
0,"female",74
0,"female",75
0,"female",76
0,"female",77
0,"female",78
0,"female",79
0,"female",80
0,"female",81
0,"female",82
0,"female",83
0,"female",84
0,"female",85
0,"female",86
0,"female",87
0,"female",88
0,"female",89
0,"female",90
0,"female",91
0,"female",92
0,"female",93
0,"female",94
0,"female",95
0,"female",96
0,"female",97
0,"female",98
0,"female",99
0,"female",100
0,"male",1
0,"male",2
0,"male",3
0,"male",4
0,"male",5
0,"male",6
0,"male",7
0,"male",8
0,"male",9
0,"male",10
0,"male",11
0,"male",12
0,"male",13
0,"male",14
0.00119050785905263,"male",15
0.00238107302116934,"male",16
0.00357171187681916,"male",17
0.00476242727825118,"male",18
0.00602017905520451,"male",19
0.024394093734602,"male",20
0.0428866865721466,"male",21
0.0614263569717207,"male",22
0.0801063067400761,"male",23
0.0998180052048911,"male",24
0.180776801238243,"male",25
0.264033988641147,"male",26
0.348310761150119,"male",27
0.433770960843318,"male",28
0.521215316706901,"male",29
0.65502430511522,"male",30
0.789764967131045,"male",31
0.924782184684902,"male",32
1.05631740044913,"male",33
1.18713017969932,"male",34
1.29255480998128,"male",35
1.39990482713786,"male",36
1.50846026775311,"male",37
1.59638664053197,"male",38
1.68294989144545,"male",39
1.70797343140102,"male",40
1.72084797874987,"male",41
1.72645850204084,"male",42
1.65422016828745,"male",43
1.58041438040055,"male",44
1.48077554002171,"male",45
1.38737383704667,"male",46
1.29829219660939,"male",47
1.18005624847359,"male",48
1.06189675655931,"male",49
0.934056053423965,"male",50
0.805928770546128,"male",51
0.677079628995202,"male",52
0.595008162025403,"male",53
0.513290303692003,"male",54
0.429053659354525,"male",55
0.345397973945661,"male",56
0.262496253838609,"male",57
0.228391953003451,"male",58
0.1944617990642,"male",59
0.160031054416956,"male",60
0.125843116730283,"male",61
0.0917972864409904,"male",62
0.0800859308323093,"male",63
0.06833200208514,"male",64
0.0560755353317663,"male",65
0.043878023123272,"male",66
0.0319013087840114,"male",67
0.0277758440652931,"male",68
0.0236536491480132,"male",69
0.0196359290313942,"male",70
0.0156566955693335,"male",71
0.0117498859641113,"male",72
0.0102271841205665,"male",73
0.00870448227702181,"male",74
0.00715022344518436,"male",75
0.00560057600450055,"male",76
0.00397883008419856,"male",77
0.0032814750122503,"male",78
0.00258411994030205,"male",79
0.00188676486835379,"male",80
0.00118940979640554,"male",81
0.000492054724457286,"male",82
0.000492054724457286,"male",83
0.000492054724457286,"male",84
0.000492054724457286,"male",85
0.000492054724457286,"male",86
0.000492054724457286,"male",87
0.000492054724457286,"male",88
0.000492054724457286,"male",89
0.000492054724457286,"male",90
0.000492054724457286,"male",91
0.000492054724457286,"male",92
0.000492054724457286,"male",93
0.000492054724457286,"male",94
0.000492054724457286,"male",95
0.000492054724457286,"male",96
0.000492054724457286,"male",97
0.000492054724457286,"male",98
0.000492054724457286,"male",99
0.000492054724457286,"male",100
