children,gender,age
0,female,1
0,female,2
0,female,3
0,female,4
0,female,5
0,female,6
0,female,7
0,female,8
0,female,9
0,female,10
0,female,11
0,female,12
0,female,13
0,female,14
0.00471002458563536,female,15
0.00942027588026605,female,16
0.014130818729757213,female,17
0.018841664418505898,female,18
0.02355274447031937,female,19
0.0644559746690754,female,20
0.10728097803871335,female,21
0.1501082065163487,female,22
0.19293773806429798,female,23
0.23576904201213353,female,24
0.3464580973434515,female,25
0.4651153546275156,female,26
0.5837766870741308,female,27
0.7024422056379559,female,28
0.8211109067478187,female,29
0.9581974190086437,female,30
1.1054564014166137,female,31
1.2527161852769362,female,32
1.3920657948037496,female,33
1.531415963177718,female,34
1.6125915732897753,female,35
1.6832651443584474,female,36
1.753934802283459,female,37
1.7769281078697385,female,38
1.799918426373013,female,39
1.7719967639793304,female,40
1.7312015195612662,female,41
1.6904032034756515,female,42
1.5757764498927254,female,43
1.461147445053145,female,44
1.3294901195014215,female,45
1.1825812204443835,female,46
1.0356716268183281,female,47
0.8998807661642138,female,48
0.764089336116608,female,49
0.6271477353450986,female,50
0.4980050211770448,female,51
0.36886249038487456,female,52
0.3057193170905165,female,53
0.24257618709175166,female,54
0.1794995585260766,female,55
0.12455453794442418,female,56
0.06960960563860881,female,57
0.055400166568024836,female,58
0.04119074311233039,female,59
0.027000951780886708,female,60
0.015249586207804705,female,61
0.003498234489729027,female,62
0.002719650178096156,female,63
0.0019410665329865889,female,64
0.0011636426584291787,female,65
5.818210313447927e-4,female,66
0,female,67
0,female,68
0,female,69
0,female,70
0,female,71
0,female,72
0,female,73
0,female,74
0,female,75
0,female,76
0,female,77
0,female,78
0,female,79
0,female,80
0,female,81
0,female,82
0,female,83
0,female,84
0,female,85
0,female,86
0,female,87
0,female,88
0,female,89
0,female,90
0,female,91
0,female,92
0,female,93
0,female,94
0,female,95
0,female,96
0,female,97
0,female,98
0,female,99
0,female,100
