age,gender,covid_deaths,excess_deaths,deaths,nb_c,orphans
0-9,Female,5,-300.4,5,0,0
0-9,Male,8,-418,8,0,0
10-19,Female,8,-46.2,8,0.007065552808448389,0
10-19,Male,11,-66.80000000000001,11,0.0017925899090496845,0
20-29,Female,69,-96.4,69,0.36694551907314416,25
20-29,Male,60,-234.4,60,0.20567392778031637,12
30-39,Female,169,-10.000000000000002,169,1.4866489817858095,251
30-39,Male,257,-69.4,257,1.209327547392929,311
40-49,Female,514,-600,514,1.3442238451007074,691
40-49,Male,776,-676.4,776,1.47983090395904,1148
50-59,Female,1614,-434.99999999999994,1614,0.2512565362878751,406
50-59,Male,2980,-995.3999999999999,2980,0.49851645578891496,1486
60-69,Female,4350,2325.4,4350,0.005215495287927715,23
60-69,Male,9206,1614.6,9206,0.07093737509580335,653
70-79,Female,9016,12350.4,12350.4,0,0
70-79,Male,18209,23281.4,23281.4,0.008856940144886312,206
80-89,Female,19601,3844.6000000000004,19601,0,0
80-89,Male,25661,12571.6,25661,7.01261246041762e-4,18
90+,Female,14860,30404.600000000002,30404.600000000002,0,0
90+,Male,11252,18507.4,18507.4,4.920547244572857e-4,9
