Period,age,fertility_rate,country,gender,date
2000-2005,15-19,8.02618069815195,France,Female,2003
2000-2005,15-19,7.9486652977412735,France,Female,2004
2005-2010,15-19,7.17172236503856,France,Female,2005
2005-2010,15-19,7.2245850622406635,France,Female,2006
2005-2010,15-19,7.364779874213837,France,Female,2007
2005-2010,15-19,7.131425543190249,France,Female,2008
2005-2010,15-19,7.261892036344201,France,Female,2009
2010-2015,15-19,6.623725174449812,France,Female,2010
2010-2015,15-19,6.718294657312466,France,Female,2011
2010-2015,15-19,6.749053542455381,France,Female,2012
2010-2015,15-19,6.704803022126281,France,Female,2013
2010-2015,15-19,6.683503492745835,France,Female,2014
2015-2020,15-19,4.649385355424906,France,Female,2015
2015-2020,15-19,4.70362473347548,France,Female,2016
2015-2020,15-19,4.7283359914938865,France,Female,2017
2015-2020,15-19,4.720190779014309,France,Female,2018
2015-2020,15-19,4.7016895459345305,France,Female,2019
2000-2005,20-24,55.552922590837284,France,Female,2003
2000-2005,20-24,55.69437274135261,France,Female,2004
2005-2010,20-24,55.04073319755601,France,Female,2005
2005-2010,20-24,54.50935761254426,France,Female,2006
2005-2010,20-24,54.813131313131315,France,Female,2007
2005-2010,20-24,54.920425747592496,France,Female,2008
2005-2010,20-24,54.881632653061224,France,Female,2009
2010-2015,20-24,50.32117163412128,France,Female,2010
2010-2015,20-24,50.48524080787157,France,Female,2011
2010-2015,20-24,50.353403141361255,France,Female,2012
2010-2015,20-24,50.205835543766575,France,Female,2013
2010-2015,20-24,50.36734693877551,France,Female,2014
2015-2020,20-24,41.03743895822029,France,Female,2015
2015-2020,20-24,40.740478781284004,France,Female,2016
2015-2020,20-24,41.023978201634876,France,Female,2017
2015-2020,20-24,41.219858156028366,France,Female,2018
2015-2020,20-24,40.84543965046423,France,Female,2019
2000-2005,25-29,129.5141825683342,France,Female,2003
2000-2005,25-29,129.93150684931507,France,Female,2004
2005-2010,25-29,128.806073521577,France,Female,2005
2005-2010,25-29,129.0122405534859,France,Female,2006
2005-2010,25-29,128.6580746975276,France,Female,2007
