"age","gender","nb_excess","nb_covid","nb_deaths","nb_orphans"
"0-19","Female",-347,13,13,0
"0-19","Male",-491,19,19,0
"20-49","Female",-706,756,756,973
"20-49","Male",-1009,1121,1121,1507
"50-69","Female",1931,5990,5990,431
"50-69","Male",720,12228,12228,2151
"70+","Female",47118,43420,63078,0
"70+","Male",55023,55077,68111,237
