country,year,age,gender,value,pop,fertility_rate
France,2007,15-19,Male,3710,1971,1.8822932521562659
France,2007,20-24,Male,53816,1999,26.921460730365183
France,2007,25-29,Male,180891,1883,96.06532129580457
France,2007,30-34,Male,256665,2020,127.06188118811882
France,2007,35-39,Male,178457,2166,82.39012003693445
France,2007,40-44,Male,74375,2178,34.14830119375574
France,2007,45-49,Male,24528,2097,11.696709585121603
France,2007,50-54,Male,8374,2019,4.147597820703319
France,2007,55-59,Male,3275,2034,1.6101278269419863
France,2007,60-64,Male,1101,1541,0.7144711226476315
France,2007,65+,Male,125,4196,0.02979027645376549
France,2008,15-19,Male,3858,1952,1.9764344262295082
France,2008,20-24,Male,55131,1992,27.676204819277107
France,2008,25-29,Male,183387,1913,95.86356508102457
France,2008,30-34,Male,256763,1960,131.0015306122449
France,2008,35-39,Male,183772,2171,84.64854905573469
France,2008,40-44,Male,75837,2175,34.867586206896554
France,2008,45-49,Male,25489,2121,12.017444601603017
France,2008,50-54,Male,8478,2017,4.203272186415469
France,2008,55-59,Male,3161,2014,1.5695134061569016
France,2008,60-64,Male,1205,1683,0.7159833630421866
France,2008,65+,Male,109,4239,0.025713611700872847
France,2009,15-19,Male,3870,1940,1.9948453608247423
France,2009,20-24,Male,54863,1981,27.69459868753155
France,2009,25-29,Male,183260,1938,94.56140350877193
France,2009,30-34,Male,253654,1912,132.6642259414226
France,2009,35-39,Male,182567,2167,84.248730964467
France,2009,40-44,Male,75876,2173,34.917625402669124
France,2009,45-49,Male,26547,2143,12.387774148390108
France,2009,50-54,Male,8798,2022,4.351137487636004
France,2009,55-59,Male,3219,1991,1.6167754897036666
France,2009,60-64,Male,1134,1807,0.6275594908688434
France,2009,65+,Male,105,4299,0.024424284717376135
France,2010,15-19,Male,3239,1937,1.6721734641197727
France,2010,20-24,Male,52912,1969,26.872524123920773
France,2010,25-29,Male,183474,1951,94.04100461301897
France,2010,30-34,Male,259364,1884,137.66666666666666
France,2010,35-39,Male,183122,2146,85.33178005591799
France,2010,40-44,Male,78957,2175,36.30206896551724
France,2010,45-49,Male,27010,2160,12.50462962962963
France,2010,50-54,Male,8946,2032,4.40255905511811
France,2010,55-59,Male,3142,1978,1.5884732052578363
France,2010,60-64,Male,1216,1889,0.6437268395976707
France,2010,65+,Male,90,4392,0.020491803278688523
France,2012,15-19,Male,3038,1924,1.579002079002079
France,2012,20-24,Male,48843,1934,25.254912099276112
France,2012,25-29,Male,173998,1969,88.36871508379889
France,2012,30-34,Male,260312,1898,137.15068493150685
France,2012,35-39,Male,176599,2055,85.93625304136253
France,2012,40-44,Male,82586,2185,37.79679633867277
France,2012,45-49,Male,28866,2173,13.283939254486885
France,2012,50-54,Male,9444,2069,4.564523924601256
France,2012,55-59,Male,3345,1963,1.7040244523688233
France,2012,60-64,Male,1279,1941,0.6589386913961875
France,2012,65+,Male,130,4675,0.027807486631016044
France,2013,15-19,Male,2845,1930,1.4740932642487046
France,2013,20-24,Male,46423,1911,24.292517006802722
France,2013,25-29,Male,173491,1961,88.4706782253952
France,2013,30-34,Male,256955,1929,133.20632452047693
France,2013,35-39,Male,175173,1997,87.71807711567351
France,2013,40-44,Male,83188,2192,37.9507299270073
