X0.years,X1.years,X2.years,X3.years,X4.years,X5.years,X6.years,X7.years,X8.years,X9.years,X10.years,X11.years,X12.years,X13.years,X14.years,X15.years,X16.years,X17.years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0011544318633237639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0011544318633237639,0.0011544874299313586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0011544318633237639,0.0011544874299313586,0.001154558890327099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0011544318633237639,0.0011544874299313586,0.001154558890327099,0.001154633116540146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0011544318633237639,0.0011544874299313586,0.001154558890327099,0.001154633116540146,0.0012037972288525354,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018010036438061212,0.0011544874299313586,0.001154558890327099,0.001154633116540146,0.0012037972288525354,0.0012963821687180872,0,0,0,0,0,0,0,0,0,0,0,0
0.018010036438061212,0.01801090332042934,0.001154558890327099,0.001154633116540146,0.0012037972288525354,0.0012963821687180872,0.0014619118254814538,0,0,0,0,0,0,0,0,0,0,0
