"age","gender","deaths.x","deaths.y","deaths","child_age","nb_c","orphans"
"0-9","Male",4,8,4,0,0,0
"0-9","Male",4,8,4,1,0,0
"0-9","Male",4,8,4,2,0,0
"0-9","Male",4,8,4,3,0,0
"0-9","Male",4,8,4,4,0,0
"0-9","Male",4,8,4,5,0,0
"0-9","Male",4,8,4,6,0,0
"0-9","Male",4,8,4,7,0,0
"0-9","Male",4,8,4,8,0,0
"0-9","Male",4,8,4,9,0,0
"0-9","Male",4,8,4,10,0,0
"0-9","Male",4,8,4,11,0,0
"0-9","Male",4,8,4,12,0,0
"0-9","Male",4,8,4,13,0,0
"0-9","Male",4,8,4,14,0,0
"0-9","Male",4,8,4,15,0,0
"0-9","Male",4,8,4,16,0,0
"0-9","Male",4,8,4,17,0,0
"0-9","Female",1,5,4,0,0,0
"0-9","Female",1,5,4,1,0,0
"0-9","Female",1,5,4,2,0,0
"0-9","Female",1,5,4,3,0,0
"0-9","Female",1,5,4,4,0,0
"0-9","Female",1,5,4,5,0,0
"0-9","Female",1,5,4,6,0,0
"0-9","Female",1,5,4,7,0,0
"0-9","Female",1,5,4,8,0,0
"0-9","Female",1,5,4,9,0,0
"0-9","Female",1,5,4,10,0,0
"0-9","Female",1,5,4,11,0,0
"0-9","Female",1,5,4,12,0,0
"0-9","Female",1,5,4,13,0,0
"0-9","Female",1,5,4,14,0,0
"0-9","Female",1,5,4,15,0,0
"0-9","Female",1,5,4,16,0,0
"0-9","Female",1,5,4,17,0,0
"10-19","Male",4,11,7,0,0.000595253929526315,0
"10-19","Male",4,11,7,1,0.000476226064846684,0
"10-19","Male",4,11,7,2,0.000357191656694946,0
"10-19","Male",4,11,7,3,0.000238143080286404,0
"10-19","Male",4,11,7,4,0.000125775177695333,0
"10-19","Male",4,11,7,5,0,0
"10-19","Male",4,11,7,6,0,0
"10-19","Male",4,11,7,7,0,0
"10-19","Male",4,11,7,8,0,0
"10-19","Male",4,11,7,9,0,0
"10-19","Male",4,11,7,10,0,0
"10-19","Male",4,11,7,11,0,0
"10-19","Male",4,11,7,12,0,0
"10-19","Male",4,11,7,13,0,0
"10-19","Male",4,11,7,14,0,0
"10-19","Male",4,11,7,15,0,0
"10-19","Male",4,11,7,16,0,0
"10-19","Male",4,11,7,17,0,0
"10-19","Female",8,8,0,0,0.00235501229281768,0
"10-19","Female",8,8,0,1,0.00188410051785228,0
"10-19","Female",8,8,0,2,0.00141316285484735,0
"10-19","Female",8,8,0,3,0.000942169137749738,0
"10-19","Female",8,8,0,4,0.000471108005181347,0
"10-19","Female",8,8,0,5,0,0
"10-19","Female",8,8,0,6,0,0
"10-19","Female",8,8,0,7,0,0
"10-19","Female",8,8,0,8,0,0
"10-19","Female",8,8,0,9,0,0
"10-19","Female",8,8,0,10,0,0
"10-19","Female",8,8,0,11,0,0
"10-19","Female",8,8,0,12,0,0
"10-19","Female",8,8,0,13,0,0
"10-19","Female",8,8,0,14,0,0
"10-19","Female",8,8,0,15,0,0
"10-19","Female",8,8,0,16,0,0
"10-19","Female",8,8,0,17,0,0
"20-29","Male",49,63,14,0,0.048135091131275,1
"20-29","Male",49,63,14,1,0.0404530643272272,1
"20-29","Male",49,63,14,2,0.0327707489390768,0
"20-29","Male",49,63,14,3,0.0250875423557052,0
"20-29","Male",49,63,14,4,0.018286744348433,0
"20-29","Male",49,63,14,5,0.0110741128757516,0
"20-29","Male",49,63,14,6,0.0098899016627645,0
"20-29","Male",49,63,14,7,0.00795340945806544,0
"20-29","Male",49,63,14,8,0.00589329738187096,0
"20-29","Male",49,63,14,9,0.00335352203534166,0
"20-29","Male",49,63,14,10,0.000834616548099515,0
"20-29","Male",49,63,14,11,0.00079380768707668,0
"20-29","Male",49,63,14,12,0.000581248530858501,0
"20-29","Male",49,63,14,13,0.00037788044034444,0
"20-29","Male",49,63,14,14,0.000188940058426012,0
"20-29","Male",49,63,14,15,0,0
"20-29","Male",49,63,14,16,0,0
"20-29","Male",49,63,14,17,0,0
"20-29","Female",50,69,19,0,0.0747655372928177,1
"20-29","Female",50,69,19,1,0.0643753940583265,1
"20-29","Female",50,69,19,2,0.0539849934654527,1
"20-29","Female",50,69,19,3,0.0435934105941115,1
"20-29","Female",50,69,19,4,0.0332000086528497,1
"20-29","Female",50,69,19,5,0.0228699872955975,0
"20-29","Female",50,69,19,6,0.0234425931034483,0
"20-29","Female",50,69,19,7,0.018412486653185,0
"20-29","Female",50,69,19,8,0.0133823844235174,0
"20-29","Female",50,69,19,9,0.0083523112650757,0
"20-29","Female",50,69,19,10,0.00332225786163522,0
"20-29","Female",50,69,19,11,0.00289767007915567,0
"20-29","Female",50,69,19,12,0.00217324524694636,0
"20-29","Female",50,69,19,13,0.00144882646744931,0
