"","age","gender","covid_deaths","excess_deaths","deaths","nb_excess_sample","nb_covid19_sample"
"1","0-9","Male",8,0,10,0,10
"2","10-19","Male",11,0,11,0,11
"3","20-29","Male",60,0,57,0,57
"4","30-39","Male",255,0,267,0,267
"5","40-49","Male",772,0,708,0,708
"6","50-59","Male",2962,0,3032,0,3032
"7","60-69","Male",9150,1614.6,9190,1647,9190
"8","70-79","Male",18100,23281.4,23360,23360,18302
"9","80-89","Male",25507,12571.6,25202,12502,25202
"10","90+","Male",11185,18507.4,18509,18509,11099
"11","0-9","Female",5,0,5,0,5
"12","10-19","Female",8,0,13,0,13
"13","20-29","Female",69,0,69,0,69
"14","30-39","Female",168,0,172,0,172
"15","40-49","Female",511,0,476,0,476
"16","50-59","Female",1604,0,1582,0,1582
"17","60-69","Female",4324,2325.4,4377,2283,4377
"18","70-79","Female",8962,12350.4,12257,12257,8929
"19","80-89","Female",19484,3844.6,19437,3901,19437
"20","90+","Female",14771,30404.6,30457,30457,14798
