"","age","gender","covid_deaths","excess_deaths","deaths","nb_excess_sample","nb_covid19_sample"
"1","0-9","Male",4,0,5,0,5
"2","10-19","Male",4,0,4,0,4
"3","20-29","Male",49,0,51,0,51
"4","30-39","Male",187,0,192,0,192
"5","40-49","Male",583,0,601,0,601
"6","50-59","Male",2349,0,2238,0,2238
"7","60-69","Male",7681,1580.2,7795,1612,7795
"8","70-79","Male",15857,18414.4,18484,18484,15909
"9","80-89","Male",23520,12817.2,23750,12747,23750
"10","90+","Male",10279,16008,16009,16009,10085
"11","0-9","Female",1,0,0,0,0
"12","10-19","Female",8,0,8,0,8
"13","20-29","Female",50,0,49,0,49
"14","30-39","Female",122,0,139,0,139
"15","40-49","Female",402,0,404,0,404
"16","50-59","Female",1243,0,1248,0,1248
"17","60-69","Female",3467,1710,3434,1673,3434
"18","70-79","Female",7623,9315.4,9234,9234,7630
"19","80-89","Female",17655,5605.8,17763,5674,17763
"20","90+","Female",13590,26014.6,26063,26063,13549
