age,gender,COVID19_deaths,child_age,nb_c,orphans
15-19,Female,40,4,0.01054207931004442,0
15-19,Female,40,5,0,0
15-19,Female,40,6,0,0
15-19,Female,40,7,0,0
15-19,Female,40,8,0,0
15-19,Female,40,9,0,0
15-19,Female,40,10,0,0
15-19,Female,40,11,0,0
15-19,Female,40,12,0,0
15-19,Female,40,13,0,0
15-19,Female,40,14,0,0
15-19,Female,40,15,0,0
15-19,Female,40,16,0,0
15-19,Female,40,17,0,0
15-19,Male,42,0,0.00954797417803847,0
15-19,Male,42,1,0.007641724075037775,0
15-19,Male,42,2,0.0057352245246580676,0
15-19,Male,42,3,0.003826134515242524,0
15-19,Male,42,4,0.0019150557535740722,0
15-19,Male,42,5,0,0
15-19,Male,42,6,0,0
15-19,Male,42,7,0,0
15-19,Male,42,8,0,0
15-19,Male,42,9,0,0
15-19,Male,42,10,0,0
15-19,Male,42,11,0,0
15-19,Male,42,12,0,0
15-19,Male,42,13,0,0
15-19,Male,42,14,0,0
15-19,Male,42,15,0,0
15-19,Male,42,16,0,0
15-19,Male,42,17,0,0
20-24,Female,68,0,0.120261008759537,8
20-24,Female,68,1,0.10677417928730479,7
20-24,Female,68,2,0.09329864507476196,6
20-24,Female,68,3,0.0798051722015914,5
20-24,Female,68,4,0.06627412070737868,5
20-24,Female,68,5,0.053975878117862,4
20-24,Female,68,6,0.04567128590109584,3
20-24,Female,68,7,0.03425257620417636,2
20-24,Female,68,8,0.02283449983174424,2
20-24,Female,68,9,0.01141701425750024,1
20-24,Female,68,10,0,0
20-24,Female,68,11,0,0
20-24,Female,68,12,0,0
20-24,Female,68,13,0,0
20-24,Female,68,14,0,0
20-24,Female,68,15,0,0
20-24,Female,68,16,0,0
20-24,Female,68,17,0,0
20-24,Male,89,0,0.0612206737113431,5
20-24,Male,89,1,0.05090841608517,5
20-24,Male,89,2,0.04059718000579495,4
20-24,Male,89,3,0.030272000915968746,3
20-24,Male,89,4,0.020497408798615807,2
20-24,Male,89,5,0.00999342219168015,1
20-24,Male,89,6,0.00813352811884696,1
20-24,Male,89,7,0.0060999879071268,1
20-24,Male,89,8,0.003962581409791664,0
20-24,Male,89,9,0.001981249809956578,0
20-24,Male,89,10,0,0
20-24,Male,89,11,0,0
20-24,Male,89,12,0,0
20-24,Male,89,13,0,0
20-24,Male,89,14,0,0
20-24,Male,89,15,0,0
20-24,Male,89,16,0,0
20-24,Male,89,17,0,0
25-29,Female,105,0,0.114417428934727,12
25-29,Female,105,1,0.115636758351893,12
25-29,Female,105,2,0.11688611093792439,12
25-29,Female,105,3,0.1181380099734748,12
25-29,Female,105,4,0.1193576968202806,13
25-29,Female,105,5,0.12342270169027,13
25-29,Female,105,6,0.13000736305368835,14
25-29,Female,105,7,0.11177490064037124,12
25-29,Female,105,8,0.09354355232753797,10
25-29,Female,105,9,0.07531334641211315,8
25-29,Female,105,10,0.0571183062784173,6
25-29,Female,105,11,0.04354269381733472,5
25-29,Female,105,12,0.032656398866523356,3
25-29,Female,105,13,0.021770340574134357,2
25-29,Female,105,14,0.010884815085303801,1
25-29,Female,105,15,0,0
25-29,Female,105,16,0,0
25-29,Female,105,17,0,0
25-29,Male,161,0,0.0904393220674198,15
25-29,Male,161,1,0.08463263554680112,14
25-29,Male,161,2,0.07884039169651592,13
25-29,Male,161,3,0.0730407097666258,12
25-29,Male,161,4,0.07024404241064255,11
25-29,Male,161,5,0.0682801994567038,11
25-29,Male,161,6,0.058487272442424625,9
25-29,Male,161,7,0.046405978491018476,7
25-29,Male,161,8,0.035285256939060136,6
25-29,Male,161,9,0.02259538884078279,4
25-29,Male,161,10,0.00991201647881043,2
25-29,Male,161,11,0.03191351746437872,5
25-29,Male,161,12,0.02393468258814084,4
25-29,Male,161,13,0.003046365418242648,0
25-29,Male,161,14,0.001523133005058828,0
25-29,Male,161,15,0,0
25-29,Male,161,16,0,0
25-29,Male,161,17,0,0
30-34,Female,145,0,0.106479988697372,15
30-34,Female,145,1,0.1081147978841872,16
30-34,Female,145,2,0.10977823351155419,16
30-34,Female,145,3,0.1114447369761274,16
30-34,Female,145,4,0.11308138890147221,16
30-34,Female,145,5,0.117425492645043,17
30-34,Female,145,6,0.147434795064002,21
30-34,Female,145,7,0.1476314997308584,21
30-34,Female,145,8,0.1478284605720696,21
30-34,Female,145,9,0.1480259281105988,21
30-34,Female,145,10,0.148312744510013,22
30-34,Female,145,11,0.14231389637969527,21
30-34,Female,145,12,0.12034022386163784,17
30-34,Female,145,13,0.09836658482785833,14
30-34,Female,145,14,0.0763937251920582,11
30-34,Female,145,15,0.0542771727989488,8
30-34,Female,145,16,0.04285229,6
30-34,Female,145,17,0.03213536007292614,5
30-34,Male,215,0,0.0870319950468411,19
30-34,Male,215,1,0.0877518688695613,19
30-34,Male,215,2,0.08849429508398168,19
30-34,Male,215,3,0.08923836845776995,19
30-34,Male,215,4,0.0936050427915764,20
30-34,Male,215,5,0.0997687071830067,21
30-34,Male,215,6,0.09560874328132542,21
30-34,Male,215,7,0.08934608133453972,19
30-34,Male,215,8,0.08775425395340296,19
30-34,Male,215,9,0.08055219533085131,17
30-34,Male,215,10,0.0733946535891083,16
30-34,Male,215,11,0.10037670164431547,22
30-34,Male,215,12,0.08525387794153796,18
30-34,Male,215,13,0.03390295254064485,7
30-34,Male,215,14,0.02075875562724437,4
30-34,Male,215,15,0.00645452708199095,1
30-34,Male,215,16,0.005163064978243552,1
30-34,Male,215,17,0.003871833970967976,1
35-39,Female,195,0,0.0696111469341622,14
35-39,Female,195,1,0.07701862583518936,15
35-39,Female,195,2,0.084453515523335,16
35-39,Female,195,3,0.09189925899204215,18
35-39,Female,195,4,0.09932708425821057,19
35-39,Female,195,5,0.109279375057104,21
35-39,Female,195,6,0.1312123549498112,26
35-39,Female,195,7,0.1352143254199538,26
35-39,Female,195,8,0.1392163392035892,27
35-39,Female,195,9,0.1432186593059348,28
35-39,Female,195,10,0.147309566798878,29
35-39,Female,195,11,0.1715360123070948,33
35-39,Female,195,12,0.169720098886066,33
35-39,Female,195,13,0.1679028841669132,33
35-39,Female,195,14,0.1660848647311182,32
35-39,Female,195,15,0.163828916885677,32
35-39,Female,195,16,0.1575763466071432,31
35-39,Female,195,17,0.13155780879671855,26
35-39,Male,309,0,0.0653406746731827,20
35-39,Male,309,1,0.069709450117932,22
35-39,Male,309,2,0.07410040932233308,23
35-39,Male,309,3,0.07849794908420842,24
35-39,Male,309,4,0.08574843848859436,26
35-39,Male,309,5,0.0963334164089159,30
35-39,Male,309,6,0.1005461155820784,31
35-39,Male,309,7,0.10087424295020479,31
35-39,Male,309,8,0.1088695667390444,34
35-39,Male,309,9,0.1091102521229596,34
35-39,Male,309,10,0.109416850178781,34
35-39,Male,309,11,0.12073108797120799,37
35-39,Male,309,12,0.1194205189525562,37
35-39,Male,309,13,0.09404231936059532,29
35-39,Male,309,14,0.08368518431678684,26
35-39,Male,309,15,0.0711260300029714,22
35-39,Male,309,16,0.058185455798883366,18
35-39,Male,309,17,0.045247118333761965,14
40-44,Female,237,0,0.0306639836111896,7
40-44,Female,237,1,0.03847025445434298,9
40-44,Female,237,2,0.04629483287720888,11
40-44,Female,237,3,0.05413053432360746,13
40-44,Female,237,4,0.06195948751633416,15
40-44,Female,237,5,0.0714412419369575,17
40-44,Female,237,6,0.09275188407772356,22
40-44,Female,237,7,0.10136300410208836,24
40-44,Female,237,8,0.10997387571508684,26
40-44,Female,237,9,0.11858474533997966,28
40-44,Female,237,10,0.127271939634323,30
40-44,Female,237,11,0.144326615160633,34
40-44,Female,237,12,0.1515792505374242,36
40-44,Female,237,13,0.1588303135049816,38
40-44,Female,237,14,0.16608007861917598,39
40-44,Female,237,15,0.172867157030223,41
40-44,Female,237,16,0.19682327566964258,47
40-44,Female,237,17,0.1934890041020966,46
40-44,Male,420,0,0.0370493855656388,16
40-44,Male,420,1,0.042726344428428924,18
40-44,Male,420,2,0.04842027177644754,20
40-44,Male,420,3,0.0541223969786466,23
40-44,Male,420,4,0.062434609131745235,26
40-44,Male,420,5,0.0714130317139337,30
40-44,Male,420,6,0.07720707555346563,32
40-44,Male,420,7,0.08295699856102146,35
40-44,Male,420,8,0.09524599260259692,40
40-44,Male,420,9,0.10169127437338134,43
40-44,Male,420,10,0.108201480440073,45
40-44,Male,420,11,0.1015407024155708,43
40-44,Male,420,12,0.10666334292362108,45
40-44,Male,420,13,0.1213782912451102,51
40-44,Male,420,14,0.1232378899535904,52
40-44,Male,420,15,0.127047899078358,53
40-44,Male,420,16,0.11585103407726302,49
40-44,Male,420,17,0.10465530355175053,44
45-49,Female,341,0,0.00710125572195535,2
45-49,Female,341,1,0.011818974387527836,4
45-49,Female,341,2,0.01654492498414137,6
45-49,Female,341,3,0.02127751342175068,7
45-49,Female,341,4,0.026009272305949967,9
45-49,Female,341,5,0.0314701476473275,11
45-49,Female,341,6,0.04647780322313292,16
45-49,Female,341,7,0.05589143695591646,19
45-49,Female,341,8,0.06530470016825576,22
45-49,Female,341,9,0.07471776969810966,25
45-49,Female,341,10,0.0841811690045468,29
45-49,Female,341,11,0.09514463911482096,32
45-49,Female,341,12,0.105624242915771,36
45-49,Female,341,13,0.11610250022689157,40
45-49,Female,341,14,0.12657949907213425,43
45-49,Female,341,15,0.136690330486202,47
45-49,Female,341,16,0.158930196428571,54
45-49,Female,341,17,0.1692109161349132,58
45-49,Male,639,0,0.0175395437165752,11
45-49,Male,639,1,0.02145090100534618,14
45-49,Male,639,2,0.02537197035068772,16
45-49,Male,639,3,0.029298628976276962,19
45-49,Male,639,4,0.03499414641279424,22
45-49,Male,639,5,0.0409661867578915,26
45-49,Male,639,6,0.04785741209796432,31
45-49,Male,639,7,0.05375541544944264,34
45-49,Male,639,8,0.06402922471418261,41
45-49,Male,639,9,0.06996509334260576,45
45-49,Male,639,10,0.075946473962227,49
45-49,Male,639,11,0.06924648426698148,44
45-49,Male,639,12,0.07603742409190642,49
45-49,Male,639,13,0.10450797460632044,67
45-49,Male,639,14,0.11014410816246267,70
45-49,Male,639,15,0.120354725831726,77
45-49,Male,639,16,0.1216802407835514,78
45-49,Male,639,17,0.12300396610798381,79
5-9,Female,10,0,0,0
5-9,Female,10,1,0,0
5-9,Female,10,2,0,0
5-9,Female,10,3,0,0
5-9,Female,10,4,0,0
5-9,Female,10,5,0,0
5-9,Female,10,6,0,0
5-9,Female,10,7,0,0
5-9,Female,10,8,0,0
5-9,Female,10,9,0,0
5-9,Female,10,10,0,0
5-9,Female,10,11,0,0
5-9,Female,10,12,0,0
5-9,Female,10,13,0,0
5-9,Female,10,14,0,0
5-9,Female,10,15,0,0
5-9,Female,10,16,0,0
5-9,Female,10,17,0,0
5-9,Male,15,0,0,0
5-9,Male,15,1,0,0
5-9,Male,15,2,0,0
5-9,Male,15,3,0,0
5-9,Male,15,4,0,0
5-9,Male,15,5,0,0
5-9,Male,15,6,0,0
5-9,Male,15,7,0,0
