"age","gender","COVID19_deaths.x","COVID19_deaths.y","COVID19_deaths"
"0-4","female",67,153,86
"0-4","male",95,220,125
"10-14","female",19,47,28
"10-14","male",24,61,37
"15-19","female",40,92,52
"15-19","male",42,101,59
"20-24","female",68,169,101
"20-24","male",89,203,114
"25-29","female",105,293,188
"25-29","male",161,378,217
"30-34","female",145,429,284
"30-34","male",215,513,298
"35-39","female",195,517,322
"35-39","male",309,732,423
"40-44","female",237,707,470
"40-44","male",420,1052,632
"45-49","female",341,927,586
"45-49","male",639,1524,885
"5-9","female",10,25,15
"5-9","male",15,31,16
"50-54","female",531,1435,904
"50-54","male",945,2145,1200
"55-59","female",689,1911,1222
"55-59","male",1145,2695,1550
"60-64","female",904,2309,1405
"60-64","male",1553,3209,1656
"65-69","female",975,2541,1566
"65-69","male",1609,3422,1813
"70-74","female",999,2478,1479
"70-74","male",1451,3189,1738
"75-79","female",764,1961,1197
"75-79","male",882,2107,1225
"80+","female",1197,3296,2099
"80+","male",1083,2675,1592
