age,gender,date,deaths
0-4,female,2021-03-31,40
0-4,male,2021-03-31,31
5-9,female,2021-03-31,9
5-9,male,2021-03-31,16
10-14,female,2021-03-31,13
10-14,male,2021-03-31,9
15-19,female,2021-03-31,31
15-19,male,2021-03-31,44
20-24,female,2021-03-31,119
20-24,male,2021-03-31,139
25-29,female,2021-03-31,184
25-29,male,2021-03-31,252
30-34,female,2021-03-31,232
30-34,male,2021-03-31,445
35-39,female,2021-03-31,336
35-39,male,2021-03-31,721
40-44,female,2021-03-31,451
40-44,male,2021-03-31,1180
45-49,female,2021-03-31,619
45-49,male,2021-03-31,1586
50-54,female,2021-03-31,1066
50-54,male,2021-03-31,2290
55-59,female,2021-03-31,1569
55-59,male,2021-03-31,3419
60-64,female,2021-03-31,2230
60-64,male,2021-03-31,4333
65-69,female,2021-03-31,2709
65-69,male,2021-03-31,5284
70-74,female,2021-03-31,2897
70-74,male,2021-03-31,5660
75-79,female,2021-03-31,2947
75-79,male,2021-03-31,5162
80+,female,2021-03-31,7287
80+,male,2021-03-31,10115
