"","country","date","age","gender","deaths"
"1","Kenya","2020-07-27","0-9","Male",37
"2","Kenya","2020-07-27","10-19","Male",22
"3","Kenya","2020-07-27","20-29","Male",68
"4","Kenya","2020-07-27","30-39","Male",193
"5","Kenya","2020-07-27","40-49","Male",413
"6","Kenya","2020-07-27","50-59","Male",409
"7","Kenya","2020-07-27","60+","Male",898
"8","Kenya","2020-07-27","0-9","Female",30
"9","Kenya","2020-07-27","10-19","Female",0
"10","Kenya","2020-07-27","20-29","Female",5
"11","Kenya","2020-07-27","30-39","Female",82
"12","Kenya","2020-07-27","40-49","Female",117
"13","Kenya","2020-07-27","50-59","Female",200
"14","Kenya","2020-07-27","60+","Female",278
