"","country","date","age","gender","deaths"
"1","Kenya","2020-07-27","0-9","Male",86
"2","Kenya","2020-07-27","10-19","Male",34
"3","Kenya","2020-07-27","20-29","Male",134
"4","Kenya","2020-07-27","30-39","Male",395
"5","Kenya","2020-07-27","40-49","Male",709
"6","Kenya","2020-07-27","50-59","Male",787
"7","Kenya","2020-07-27","60+","Male",1702
"8","Kenya","2020-07-27","0-9","Female",62
"9","Kenya","2020-07-27","10-19","Female",0
"10","Kenya","2020-07-27","20-29","Female",21
"11","Kenya","2020-07-27","30-39","Female",182
"12","Kenya","2020-07-27","40-49","Female",236
"13","Kenya","2020-07-27","50-59","Female",326
"14","Kenya","2020-07-27","60+","Female",502
