"age","gender","country","date","deaths","nb_c","orphans"
"0-9","Female","Kenya","2020-07-27",56,0,0
"0-9","Male","Kenya","2020-07-27",74,0,0
"10-19","Female","Kenya","2020-07-27",0,0.113181495193887,0
"10-19","Male","Kenya","2020-07-27",37,0.00662525254281139,0
"20-29","Female","Kenya","2020-07-27",19,1.54305984570914,29
"20-29","Male","Kenya","2020-07-27",130,0.63641769847977,83
"30-39","Female","Kenya","2020-07-27",185,3.18652533406412,590
"30-39","Male","Kenya","2020-07-27",371,2.78815713678779,1034
"40-49","Female","Kenya","2020-07-27",241,2.2836595339657,550
"40-49","Male","Kenya","2020-07-27",760,3.67581261660896,2794
"50-59","Female","Kenya","2020-07-27",334,0.748936359057943,250
"50-59","Male","Kenya","2020-07-27",815,2.47370784945623,2016
"60+","Female","Kenya","2020-07-27",500,0.0180728025203875,9
"60+","Male","Kenya","2020-07-27",1760,0.567873476199769,999
