country,date,age,gender,deaths
Kenya,2020-07-27,0-9,Male,74
Kenya,2020-07-27,10-19,Male,37
Kenya,2020-07-27,20-29,Male,130
Kenya,2020-07-27,30-39,Male,371
Kenya,2020-07-27,40-49,Male,760
Kenya,2020-07-27,50-59,Male,815
Kenya,2020-07-27,60+,Male,1760
Kenya,2020-07-27,0-9,Female,56
Kenya,2020-07-27,10-19,Female,0
Kenya,2020-07-27,20-29,Female,19
Kenya,2020-07-27,30-39,Female,185
Kenya,2020-07-27,40-49,Female,241
Kenya,2020-07-27,50-59,Female,334
Kenya,2020-07-27,60+,Female,500
