"","age","gender","deaths.x","deaths.y","deaths"
"1","0-9","Male",38,73,35
"2","10-19","Male",19,36,17
"3","20-29","Male",67,127,60
"4","30-39","Male",191,364,173
"5","40-49","Male",392,745,353
"6","50-59","Male",421,800,379
"7","60+","Male",908,1727,819
"8","0-9","Female",29,55,26
"9","10-19","Female",0,0,0
"10","20-29","Female",10,18,8
"11","30-39","Female",96,182,86
"12","40-49","Female",124,236,112
"13","50-59","Female",172,327,155
"14","60+","Female",258,491,233
