"","age","gender","covid_deaths","excess_deaths","deaths","nb_excess_sample","nb_covid19_sample"
"1","0-9","Male",9,0,8,0,8
"2","10-19","Male",10,0,10,0,10
"3","20-29","Male",46,0,50,0,50
"4","30-39","Male",182,0,189,0,189
"5","40-49","Male",840,0,862,0,862
"6","50-59","Male",3426,2760.6,3484,2785,3484
"7","60-69","Male",9874,7033.2,9977,7078,9977
"8","70-79","Male",22348,18572.4,22356,18540,22356
"9","80-89","Male",28614,32554.2,32237,32237,28400
"10","90+","Male",8791,16839.8,16816,16816,8620
"11","0-9","Female",7,0,3,0,3
"12","10-19","Female",9,11.6,15,8,15
"13","20-29","Female",30,0,28,0,28
"14","30-39","Female",106,0,103,0,103
"15","40-49","Female",369,0,359,0,359
"16","50-59","Female",1359,1029,1421,1027,1421
"17","60-69","Female",3787,2289.4,3843,2260,3843
"18","70-79","Female",10748,7969,10772,8020,10772
"19","80-89","Female",24147,21394,24212,21440,24212
"20","90+","Female",16571,29373.8,29420,29420,16564
