"","age","gender","covid_deaths","excess_deaths","deaths","nb_excess_sample","nb_covid19_sample"
"1","0-9","Male",4,0,2,0,2
"2","10-19","Male",8,0,4,0,4
"3","20-29","Male",38,0,45,0,45
"4","30-39","Male",138,0,139,0,139
"5","40-49","Male",724,0,729,0,729
"6","50-59","Male",2954,1874.8,2985,1834,2985
"7","60-69","Male",8715,5046.2,8744,5090,8744
"8","70-79","Male",20374,14450.6,20413,14687,20413
"9","80-89","Male",26944,26417.6,26896,26466,26896
"10","90+","Male",8211,12844.4,13069,13069,8270
"11","0-9","Female",6,0,7,0,7
"12","10-19","Female",6,0,7,0,7
"13","20-29","Female",22,0,25,0,25
"14","30-39","Female",79,0,87,0,87
"15","40-49","Female",311,0,329,0,329
"16","50-59","Female",1140,564.4,1141,575,1141
"17","60-69","Female",3232,1250.8,3314,1270,3314
"18","70-79","Female",9665,5708.6,9844,5691,9844
"19","80-89","Female",22590,19057.2,22617,18814,22617
"20","90+","Female",15645,24837.6,24809,24809,15721
