"age","gender","covid_deaths","excess_deaths","deaths"
"0-9","Male",4,-265.6,4
"10-19","Male",8,-139.4,8
"20-29","Male",38,-227.2,38
"30-39","Male",138,-237,138
"40-49","Male",724,-332.6,724
"50-59","Male",2954,1874.8,2954
"60-69","Male",8715,5046.2,8715
"70-79","Male",20374,14450.6,20374
"80-89","Male",26944,26417.6,26944
"90+","Male",8211,12844.4,12844.4
"0-9","Female",6,-209.4,6
"10-19","Female",6,-7.6,6
"20-29","Female",22,-88.4,22
"30-39","Female",79,-162.2,79
"40-49","Female",311,-291.8,311
"50-59","Female",1140,564.4,1140
"60-69","Female",3232,1250.8,3232
"70-79","Female",9665,5708.6,9665
"80-89","Female",22590,19057.2,22590
"90+","Female",15645,24837.6,24837.6
