"","X","age","gender","deaths.x","deaths.y","deaths"
"1",1,"0-9","Male",4,9,6
"2",2,"10-19","Male",8,10,2
"3",3,"20-29","Male",38,46,11
"4",4,"30-39","Male",138,182,46
"5",5,"40-49","Male",724,840,127
"6",6,"50-59","Male",2954,3426,505
"7",7,"60-69","Male",8715,9874,1199
"8",8,"70-79","Male",20374,22348,1882
"9",9,"80-89","Male",26944,32554.2,5618
"10",10,"90+","Male",12844.4,16839.8,3991
"11",11,"0-9","Female",6,7,1
"12",12,"10-19","Female",6,11.6,4
"13",13,"20-29","Female",22,30,8
"14",14,"30-39","Female",79,106,29
"15",15,"40-49","Female",311,369,53
"16",16,"50-59","Female",1140,1359,237
"17",17,"60-69","Female",3232,3787,578
"18",18,"70-79","Female",9665,10748,1156
"19",19,"80-89","Female",22590,24147,1609
"20",20,"90+","Female",24837.6,29373.8,4438
