age,gender,covid_deaths,excess_deaths,deaths
0-9,Male,8,-411.2,8
10-19,Male,10,-185.4,10
20-29,Male,46,-289.4,46
30-39,Male,184,-295,184
40-49,Male,849,-535.8000000000001,849
50-59,Male,3455,2830.2,3455
60-69,Male,9964,7106.5999999999995,9964
70-79,Male,22456,18747.2,22456
80-89,Male,28767,33387,33387
90+,Male,8841,17648,17648
0-9,Female,7,-343.4,7
10-19,Female,10,11.400000000000002,11.400000000000002
20-29,Female,31,-108.2,31
30-39,Female,109,-226.4,109
40-49,Female,375,-422,375
50-59,Female,1371,1083.8,1371
60-69,Female,3821,2409.4,3821
70-79,Female,10811,8068.6,10811
80-89,Female,24293,21988,24293
90+,Female,16692,31110.4,31110.4
