"age","gender","nb_excess","nb_covid","max_deaths","nb_orphans"
"0-19","Female",-332,17,18,0
"0-19","Male",-597,18,18,0
"20-49","Female",-757,515,515,496
"20-49","Male",-1120,1079,1079,929
"50-69","Female",3493,5192,5192,329
"50-69","Male",9937,13419,13419,1948
"70+","Female",61167,51796,66214,0
"70+","Male",69782,60064,73491,83
