"","age","gender","deaths"
"1","0-9","Male",3
"2","10-19","Male",8
"3","20-29","Male",46
"4","30-39","Male",122
"5","40-49","Male",370
"6","50-59","Male",1633
"7","60-69","Male",4764
"8","70-79","Male",10535
"9","80-89","Male",19315
"10","90+","Male",6299
"11","0-9","Female",8
"12","10-19","Female",1
"13","20-29","Female",24
"14","30-39","Female",73
"15","40-49","Female",173
"16","50-59","Female",752
"17","60-69","Female",2122
"18","70-79","Female",5961
"19","80-89","Female",18494
"20","90+","Female",12198
