"","age","gender","deaths"
"1","0-9","Male",5
"2","10-19","Male",7
"3","20-29","Male",79
"4","30-39","Male",172
"5","40-49","Male",626
"6","50-59","Male",2367
"7","60-69","Male",5971
"8","70-79","Male",12269
"9","80-89","Male",20926
"10","90+","Male",6673
"11","0-9","Female",10
"12","10-19","Female",6
"13","20-29","Female",39
"14","30-39","Female",82
"15","40-49","Female",262
"16","50-59","Female",938
"17","60-69","Female",2643
"18","70-79","Female",7144
"19","80-89","Female",20257
"20","90+","Female",13074
