"","X","age","gender","deaths.x","deaths.y","deaths"
"1",1,"0-9","Male",3,4,2
"2",2,"10-19","Male",5,6,1
"3",3,"20-29","Male",43,63,15
"4",4,"30-39","Male",117,186,67
"5",5,"40-49","Male",354,552,216
"6",6,"50-59","Male",1706,2369,693
"7",7,"60-69","Male",4804,6056,1241
"8",8,"70-79","Male",10613,12474,1844
"9",9,"80-89","Male",19296,21195,1913
"10",10,"90+","Male",6253,6755,529
"11",11,"0-9","Female",8,11,3
"12",12,"10-19","Female",2,6,4
"13",13,"20-29","Female",24,36,14
"14",14,"30-39","Female",64,92,33
"15",15,"40-49","Female",175,269,116
"16",16,"50-59","Female",717,962,210
"17",17,"60-69","Female",2101,2673,591
"18",18,"70-79","Female",5948,7106,1151
"19",19,"80-89","Female",18741,20423,1743
"20",20,"90+","Female",12124,12967,868
