"","country","date","gender","age","COVID19_deaths"
"1","SouthAfrica","2021-10-09","Female","0-9",181
"2","SouthAfrica","2021-10-09","Female","10-19",164
"3","SouthAfrica","2021-10-09","Female","20-29",687
"4","SouthAfrica","2021-10-09","Female","30-39",2225
"5","SouthAfrica","2021-10-09","Female","40-49",4883
"6","SouthAfrica","2021-10-09","Female","50-59",9505
"7","SouthAfrica","2021-10-09","Female","60-69",12716
"8","SouthAfrica","2021-10-09","Female","70-79",9390
"9","SouthAfrica","2021-10-09","Female","80+",6543
"10","SouthAfrica","2021-10-09","Male","0-9",138
"11","SouthAfrica","2021-10-09","Male","10-19",148
"12","SouthAfrica","2021-10-09","Male","20-29",597
"13","SouthAfrica","2021-10-09","Male","30-39",2512
"14","SouthAfrica","2021-10-09","Male","40-49",4707
"15","SouthAfrica","2021-10-09","Male","50-59",9421
"16","SouthAfrica","2021-10-09","Male","60-69",11081
"17","SouthAfrica","2021-10-09","Male","70-79",9025
"18","SouthAfrica","2021-10-09","Male","80+",4528
