country,date,gender,age,COVID19_deaths,X
SouthAfrica,2021-04-30,Female,0-9,75,79
SouthAfrica,2021-04-30,Female,10-19,96,98
SouthAfrica,2021-04-30,Female,20-29,468,472
SouthAfrica,2021-04-30,Female,30-39,1575,1576
SouthAfrica,2021-04-30,Female,40-49,2924,2898
SouthAfrica,2021-04-30,Female,50-59,5818,5799
SouthAfrica,2021-04-30,Female,60-69,7793,7816
SouthAfrica,2021-04-30,Female,70-79,5801,5785
SouthAfrica,2021-04-30,Female,80+,3679,3658
SouthAfrica,2021-04-30,Male,0-9,69,73
SouthAfrica,2021-04-30,Male,10-19,89,90
SouthAfrica,2021-04-30,Male,20-29,431,435
SouthAfrica,2021-04-30,Male,30-39,1282,1305
SouthAfrica,2021-04-30,Male,40-49,3003,2955
SouthAfrica,2021-04-30,Male,50-59,5661,5602
SouthAfrica,2021-04-30,Male,60-69,7591,7538
SouthAfrica,2021-04-30,Male,70-79,5434,5393
SouthAfrica,2021-04-30,Male,80+,2560,2557
