age,gender,country,date,deaths,X,nb_c,orphans
0-9,female,SouthAfrica,2021-04-30,75,79,0,0
0-9,male,SouthAfrica,2021-04-30,69,73,0,0
10-19,female,SouthAfrica,2021-04-30,96,98,0.08474320965250323,8
10-19,male,SouthAfrica,2021-04-30,89,90,0.005103099413437295,0
20-29,female,SouthAfrica,2021-04-30,468,472,1.0042635100097912,470
20-29,male,SouthAfrica,2021-04-30,431,435,0.3428280757928366,148
30-39,female,SouthAfrica,2021-04-30,1575,1576,1.8884085246519484,2974
30-39,male,SouthAfrica,2021-04-30,1282,1305,1.7645441037057412,2262
40-49,female,SouthAfrica,2021-04-30,2924,2898,1.3041505372312858,3813
40-49,male,SouthAfrica,2021-04-30,3003,2955,2.274569121667283,6831
50-59,female,SouthAfrica,2021-04-30,5818,5799,0.39222376977685813,2282
50-59,male,SouthAfrica,2021-04-30,5661,5602,1.2391529792767721,7015
60-69,female,SouthAfrica,2021-04-30,7793,7816,0.021722702828879826,169
60-69,male,SouthAfrica,2021-04-30,7591,7538,0.4421290882582371,3356
70-79,female,SouthAfrica,2021-04-30,5801,5785,0,0
70-79,male,SouthAfrica,2021-04-30,5434,5393,0.11032452020684227,600
80+,female,SouthAfrica,2021-04-30,3679,3658,0,0
80+,male,SouthAfrica,2021-04-30,2560,2557,0.02584185663411652,66
