"","country","date","gender","age","COVID19_deaths"
"1","SouthAfrica","2021-04-30","Female","0-9",82
"2","SouthAfrica","2021-04-30","Female","10-19",93
"3","SouthAfrica","2021-04-30","Female","20-29",452
"4","SouthAfrica","2021-04-30","Female","30-39",1619
"5","SouthAfrica","2021-04-30","Female","40-49",2928
"6","SouthAfrica","2021-04-30","Female","50-59",5813
"7","SouthAfrica","2021-04-30","Female","60-69",7841
"8","SouthAfrica","2021-04-30","Female","70-79",5727
"9","SouthAfrica","2021-04-30","Female","80+",3811
"10","SouthAfrica","2021-04-30","Male","0-9",56
"11","SouthAfrica","2021-04-30","Male","10-19",94
"12","SouthAfrica","2021-04-30","Male","20-29",430
"13","SouthAfrica","2021-04-30","Male","30-39",1276
"14","SouthAfrica","2021-04-30","Male","40-49",3008
"15","SouthAfrica","2021-04-30","Male","50-59",5584
"16","SouthAfrica","2021-04-30","Male","60-69",7491
"17","SouthAfrica","2021-04-30","Male","70-79",5288
"18","SouthAfrica","2021-04-30","Male","80+",2558
