country,date,gender,age,deaths,
SouthAfrica,30/04/2021,Female,0-9,71,79
SouthAfrica,01/05/2021,Female,Oct-19,91,98
SouthAfrica,02/05/2021,Female,20-29,444,472
SouthAfrica,03/05/2021,Female,30-39,1494,1576
SouthAfrica,04/05/2021,Female,40-49,2773,2898
SouthAfrica,05/05/2021,Female,50-59,5517,5799
SouthAfrica,06/05/2021,Female,60-69,7390,7816
SouthAfrica,07/05/2021,Female,70-79,5501,5785
SouthAfrica,08/05/2021,Female,80+,3489,3658
SouthAfrica,09/05/2021,Male,0-9,65,73
SouthAfrica,10/05/2021,Male,Oct-19,84,90
SouthAfrica,11/05/2021,Male,20-29,409,435
SouthAfrica,12/05/2021,Male,30-39,1216,1305
SouthAfrica,13/05/2021,Male,40-49,2848,2955
SouthAfrica,14/05/2021,Male,50-59,5368,5602
SouthAfrica,15/05/2021,Male,60-69,7199,7538
SouthAfrica,16/05/2021,Male,70-79,5153,5393
SouthAfrica,17/05/2021,Male,80+,2428,2557
