"category","gender","li_raw","ui_raw","li_percent","ui_percent","raw","percent","country"
"[0-5)","Female",328,381,2.54681176229748,2.92311295553702,353,2.71392327208426,"Argentina"
"[0-5)","Male",1335.975,1496.025,10.3583629778586,11.4829172158944,1421,10.9248865995233,"Argentina"
"[5-10)","Female",517,588,4.02744027039395,4.49778748194348,551,4.23618051818252,"Argentina"
"[5-10)","Male",2085.975,2293.025,16.3005676036662,17.5083661576973,2204,16.9447220727301,"Argentina"
"[10-18)","Female",1679,1839,13.0678951813533,14.0871679479473,1756,13.500422849235,"Argentina"
"[10-18)","Male",6438.95,6920.125,50.6732619976488,52.5250580301576,6722,51.6798646882448,"Argentina"
"[0-5)","Female",3620.52,3850.14,3.20618895519973,3.3968792679943,3736.665,3.30179776341245,"Brazil"
"[0-5)","Male",16975.7265,18380.380125,15.0730197220557,16.1820961093463,17694.09,15.634879441325,"Brazil"
"[5-10)","Female",5509.511625,5824.605,4.88226016218283,5.13930330285756,5657.73,4.99929221912896,"Brazil"
"[5-10)","Male",21640.316625,22920.648375,19.2562999282588,20.1163842836125,22273.14,19.6810267541169,"Brazil"
"[10-18)","Female",15910.162875,16559.373375,14.09249399084,14.6329967897794,16229.595,14.3408200821026,"Brazil"
"[10-18)","Male",46640.82825,48504.555,41.4932752409497,42.5488827915484,47579.4,42.0421837399141,"Brazil"
"[0-5)","Female",725.5777,832.50494,2.45167689429987,2.77226361967836,779.04132,2.60829540224007,"Colombia"
"[0-5)","Male",3233.7088674,3582.1007283,10.8950041675928,12.0060338047243,3438.474532,11.5122999028282,"Colombia"
"[5-10)","Female",1058.579676,1188.419896,3.55723813646022,3.98037920493185,1127.318616,3.77435687618268,"Colombia"
"[5-10)","Male",4984.2987277,5485.4056003,17.0046713611185,18.2271711971487,5254.71008,17.5932082033448,"Colombia"
"[10-18)","Female",3230.6919917,3525.543856,10.8701299643139,11.7844288307434,3369.735592,11.2821561908659,"Colombia"
"[10-18)","Male",15325.4612379,16366.0542246,52.3019748614242,54.1692874784423,15898.553056,53.2296834245384,"Colombia"
"[0-5)","Female",326.975,370,3.8696360206974,4.33421660974727,348,4.09845718996585,"England & Wales"
"[0-5)","Male",801,857.025,9.50953156861623,10.0013371129228,827,9.7397244140855,"England & Wales"
"[5-10)","Female",536.975,596,6.36902847421727,6.94500747140891,564,6.64232716994465,"England & Wales"
"[5-10)","Male",1361.975,1440.025,16.1759460387383,16.7496515325203,1397,16.4527146390296,"England & Wales"
"[10-18)","Female",1391,1497.025,16.4383124673265,17.5120069387884,1443,16.9944647273584,"England & Wales"
"[10-18)","Male",3840.95,3999,45.4384176217859,46.6613060209383,3912,46.0723118596161,"England & Wales"
"[0-5)","Female",113,139.025,2.80100475912627,3.39399882585723,126,3.09506263817244,"France"
"[0-5)","Male",311,347,7.70573566084788,8.3995840746038,328,8.05698845492508,"France"
"[5-10)","Female",208,244,5.18016504777438,5.91859387191513,228,5.6005895357406,"France"
"[5-10)","Male",581,631.025,14.4825812758448,15.2702618050514,605,14.8612134610661,"France"
"[10-18)","Female",679,759,16.8373719710217,18.5376733720051,721,17.7106362073201,"France"
"[10-18)","Male",2006,2122,49.8763824235731,51.6834613440045,2063,50.6755097027757,"France"
"[0-5)","Female",44,60,2.81593604057546,3.74321599159175,53,3.33333333333333,"Germany"
"[0-5)","Male",136,157,8.72014445195123,9.75617484311725,146,9.18238993710692,"Germany"
"[5-10)","Female",68,87,4.36674416578641,5.42540073982737,79,4.9685534591195,"Germany"
"[5-10)","Male",234,261,15.1515151515152,16.2008066202371,247,15.5345911949686,"Germany"
"[10-18)","Female",217,255,13.867073660011,15.9622251460162,239,15.0314465408805,"Germany"
"[10-18)","Male",792.975,853,50.7940241576605,53.2601853931007,826,51.9496855345912,"Germany"
"[0-5)","Female",23015.4541179108,24257.914486046,2.5980732380047,2.73510619447076,23661.652761686,2.67107920125645,"India"
"[0-5)","Male",97856.2382204968,100698.915991383,11.0807155454641,11.3465475546051,99317.327887564,11.211577294144,"India"
